$NML dam release year 2006 YC 03/22/2023,,,
",,,",,,
Jday,spillway,upper intake,lower intake
1,0.001,49.07263203,0.001
1.041666667,0.001,119.4676483,0.001
1.083333333,0.001,122.6391052,0.001
1.125,0.001,122.7806881,0.001
1.166666667,0.001,122.8656378,0.001
1.208333333,0.001,122.8373213,0.001
1.25,0.001,122.8656378,0.001
1.291666667,0.001,122.9789041,0.001
1.333333333,0.001,122.922271,0.001
1.375,0.001,122.7806881,0.001
1.416666667,0.001,122.7523715,0.001
1.458333333,0.001,122.8939544,0.001
1.5,0.001,122.6957384,0.001
1.541666667,0.001,122.8090047,0.001
1.583333333,0.001,122.7523715,0.001
1.625,0.001,122.8373213,0.001
1.666666667,0.001,122.7806881,0.001
1.708333333,0.001,122.7806881,0.001
1.75,0.001,122.8656378,0.001
1.791666667,0.001,122.7806881,0.001
1.833333333,0.001,122.6107886,0.001
1.875,0.001,122.6391052,0.001
1.916666667,0.001,122.7806881,0.001
1.958333333,0.001,122.8939544,0.001
2,0.001,122.8090047,0.001
2.041666667,0.001,122.8090047,0.001
2.083333333,0.001,122.6107886,0.001
2.125,0.001,122.8090047,0.001
2.166666667,0.001,122.4692057,0.001
2.208333333,0.001,122.6391052,0.001
2.25,0.001,122.6674218,0.001
2.291666667,0.001,122.8373213,0.001
2.333333333,0.001,122.7240549,0.001
2.375,0.001,122.6674218,0.001
2.416666667,0.001,122.8090047,0.001
2.458333333,0.001,122.6957384,0.001
2.5,0.001,122.7523715,0.001
2.541666667,0.001,122.4692057,0.001
2.583333333,0.001,118.3916183,0.001
2.625,0.001,38.51054793,0.001
2.666666667,0.001,35.08424182,0.001
2.708333333,0.001,35.79215631,0.001
2.75,0.001,35.2541413,0.001
2.791666667,0.001,35.2541413,0.001
2.833333333,0.001,35.2541413,0.001
2.875,0.001,35.14087498,0.001
2.916666667,0.001,35.1125584,0.001
2.958333333,0.001,34.5745434,0.001
3,0.001,3.482939261,0.001
3.041666667,0.001,0.821180801,0.001
3.083333333,0.001,0.821180801,0.001
3.125,0.001,0.821180801,0.001
3.166666667,0.001,0.821180801,0.001
3.208333333,0.001,0.821180801,0.001
3.25,0.001,0.821180801,0.001
3.291666667,0.001,0.821180801,0.001
3.333333333,0.001,0.821180801,0.001
3.375,0.001,0.821180801,0.001
3.416666667,0.001,0.821180801,0.001
3.458333333,0.001,90.24493841,0.001
3.5,0.001,124.3381,0.001
3.541666667,0.001,234.3196942,0.001
3.583333333,0.001,239.0485629,0.001
3.625,0.001,238.90698,0.001
3.666666667,0.001,216.8483647,0.001
3.708333333,0.001,172.1931191,0.001
3.75,0.001,172.3063854,0.001
3.791666667,0.001,171.9382699,0.001
3.833333333,0.001,172.8160838,0.001
3.875,0.001,172.3630185,0.001
3.916666667,0.001,171.796687,0.001
3.958333333,0.001,172.4479683,0.001
4,0.001,172.9293501,0.001
4.041666667,0.001,172.3063854,0.001
4.083333333,0.001,172.2780688,0.001
4.125,0.001,172.3913351,0.001
4.166666667,0.001,171.7117372,0.001
4.208333333,0.001,172.3913351,0.001
4.25,0.001,172.872717,0.001
4.291666667,0.001,172.5895512,0.001
4.333333333,0.001,172.5612346,0.001
4.375,0.001,171.9099533,0.001
4.416666667,0.001,172.9010336,0.001
4.458333333,0.001,166.2183208,0.001
4.5,0.001,163.1884468,0.001
4.541666667,0.001,163.1034971,0.001
4.583333333,0.001,163.1884468,0.001
4.625,0.001,163.0185474,0.001
4.666666667,0.001,163.0185474,0.001
4.708333333,0.001,163.24508,0.001
4.75,0.001,163.1318137,0.001
4.791666667,0.001,162.5371655,0.001
4.833333333,0.001,163.3017132,0.001
4.875,0.001,162.4238992,0.001
4.916666667,0.001,163.6131955,0.001
4.958333333,0.001,162.5937987,0.001
5,0.001,163.0468639,0.001
5.041666667,0.001,163.1884468,0.001
5.083333333,0.001,163.24508,0.001
5.125,0.001,163.2733966,0.001
5.166666667,0.001,163.24508,0.001
5.208333333,0.001,163.1601303,0.001
5.25,0.001,163.0468639,0.001
5.291666667,0.001,163.1884468,0.001
5.333333333,0.001,163.3866629,0.001
5.375,0.001,163.0468639,0.001
5.416666667,0.001,163.6981453,0.001
5.458333333,0.001,162.707065,0.001
5.5,0.001,163.3300297,0.001
5.541666667,0.001,163.1884468,0.001
5.583333333,0.001,163.1601303,0.001
5.625,0.001,163.2167634,0.001
5.666666667,0.001,163.1884468,0.001
5.708333333,0.001,163.2733966,0.001
5.75,0.001,163.2733966,0.001
5.791666667,0.001,163.2733966,0.001
5.833333333,0.001,162.905281,0.001
5.875,0.001,163.1884468,0.001
5.916666667,0.001,163.1318137,0.001
5.958333333,0.001,163.2167634,0.001
6,0.001,163.2167634,0.001
6.041666667,0.001,163.24508,0.001
6.083333333,0.001,163.24508,0.001
6.125,0.001,163.4716126,0.001
6.166666667,0.001,163.3300297,0.001
6.208333333,0.001,163.4149795,0.001
6.25,0.001,163.3300297,0.001
6.291666667,0.001,163.3300297,0.001
6.333333333,0.001,163.3300297,0.001
6.375,0.001,156.1942517,0.001
6.416666667,0.001,146.0569163,0.001
6.458333333,0.001,145.94365,0.001
6.5,0.001,145.8587003,0.001
6.541666667,0.001,145.8020671,0.001
6.583333333,0.001,145.745434,0.001
6.625,0.001,145.5755345,0.001
6.666666667,0.001,145.6604842,0.001
6.708333333,0.001,145.5472179,0.001
6.75,0.001,145.5755345,0.001
6.791666667,0.001,145.3206853,0.001
6.833333333,0.001,145.4622682,0.001
6.875,0.001,145.4905847,0.001
6.916666667,0.001,145.6038511,0.001
6.958333333,0.001,145.6604842,0.001
7,0.001,145.5755345,0.001
7.041666667,0.001,125.3858134,0.001
7.083333333,0.001,122.8656378,0.001
7.125,0.001,122.8090047,0.001
7.166666667,0.001,122.922271,0.001
7.208333333,0.001,122.8939544,0.001
7.25,0.001,122.7806881,0.001
7.291666667,0.001,122.7806881,0.001
7.333333333,0.001,122.7523715,0.001
7.375,0.001,122.7523715,0.001
7.416666667,0.001,122.7523715,0.001
7.458333333,0.001,122.7523715,0.001
7.5,0.001,122.7806881,0.001
7.541666667,0.001,122.6674218,0.001
7.583333333,0.001,122.6107886,0.001
7.625,0.001,122.5541555,0.001
7.666666667,0.001,122.5258389,0.001
7.708333333,0.001,123.2620699,0.001
7.75,0.001,123.4886026,0.001
7.791666667,0.001,123.4886026,0.001
7.833333333,0.001,142.2908113,0.001
7.875,0.001,154.0705083,0.001
7.916666667,0.001,154.0421917,0.001
7.958333333,0.001,154.2120912,0.001
8,0.001,154.2404078,0.001
8.041666667,0.001,154.2120912,0.001
8.083333333,0.001,154.2404078,0.001
8.125,0.001,154.2120912,0.001
8.166666667,0.001,154.2687243,0.001
8.208333333,0.001,143.1969418,0.001
8.25,0.001,110.604559,0.001
8.291666667,0.001,154.2120912,0.001
8.333333333,0.001,154.155458,0.001
8.375,0.001,154.2404078,0.001
8.416666667,0.001,154.2970409,0.001
8.458333333,0.001,154.1837746,0.001
8.5,0.001,119.6658644,0.001
8.541666667,0.001,44.42871301,0.001
8.583333333,0.001,153.7873425,0.001
8.625,0.001,154.3536741,0.001
8.666666667,0.001,154.6368399,0.001
8.708333333,0.001,154.7217896,0.001
8.75,0.001,154.5518901,0.001
8.791666667,0.001,154.495257,0.001
8.833333333,0.001,154.3253575,0.001
8.875,0.001,154.2687243,0.001
8.916666667,0.001,153.957242,0.001
8.958333333,0.001,154.2687243,0.001
9,0.001,154.0421917,0.001
9.041666667,0.001,154.2970409,0.001
9.083333333,0.001,154.155458,0.001
9.125,0.001,154.495257,0.001
9.166666667,0.001,154.2120912,0.001
9.208333333,0.001,154.3253575,0.001
9.25,0.001,154.4386238,0.001
9.291666667,0.001,154.4386238,0.001
9.333333333,0.001,154.3819907,0.001
9.375,0.001,154.4669404,0.001
9.416666667,0.001,154.2970409,0.001
9.458333333,0.001,153.9006088,0.001
9.5,0.001,154.0138751,0.001
9.541666667,0.001,154.1837746,0.001
9.583333333,0.001,153.8439756,0.001
9.625,0.001,151.3238001,0.001
9.666666667,0.001,123.1771202,0.001
9.708333333,0.001,123.0355373,0.001
9.75,0.001,123.0072207,0.001
9.791666667,0.001,123.120487,0.001
9.833333333,0.001,123.0638539,0.001
9.875,0.001,123.0355373,0.001
9.916666667,0.001,123.120487,0.001
9.958333333,0.001,123.0355373,0.001
10,0.001,122.9789041,0.001
10.04166667,0.001,123.0921705,0.001
10.08333333,0.001,123.120487,0.001
10.125,0.001,123.0638539,0.001
10.16666667,0.001,123.0355373,0.001
10.20833333,0.001,123.1771202,0.001
10.25,0.001,122.582472,0.001
10.29166667,0.001,123.4319694,0.001
10.33333333,0.001,122.9789041,0.001
10.375,0.001,123.0355373,0.001
10.41666667,0.001,122.8373213,0.001
10.45833333,0.001,123.0072207,0.001
10.5,0.001,123.0638539,0.001
10.54166667,0.001,123.1771202,0.001
10.58333333,0.001,123.2337534,0.001
10.625,0.001,123.3753363,0.001
10.66666667,0.001,145.94365,0.001
10.70833333,0.001,154.6651564,0.001
10.75,0.001,154.0988249,0.001
10.79166667,0.001,155.231488,0.001
10.83333333,0.001,154.0988249,0.001
10.875,0.001,155.033272,0.001
10.91666667,0.001,154.7217896,0.001
10.95833333,0.001,154.2970409,0.001
11,0.001,155.2881212,0.001
11.04166667,0.001,154.8067393,0.001
11.08333333,0.001,154.7501062,0.001
11.125,0.001,154.7501062,0.001
11.16666667,0.001,154.8067393,0.001
11.20833333,0.001,154.4669404,0.001
11.25,0.001,155.3447544,0.001
11.29166667,0.001,154.7501062,0.001
11.33333333,0.001,154.7217896,0.001
11.375,0.001,154.2970409,0.001
11.41666667,0.001,155.0899051,0.001
11.45833333,0.001,154.4386238,0.001
11.5,0.001,155.4297041,0.001
11.54166667,0.001,154.8916891,0.001
11.58333333,0.001,154.8916891,0.001
11.625,0.001,154.6085233,0.001
11.66666667,0.001,154.8067393,0.001
11.70833333,0.001,154.7217896,0.001
11.75,0.001,154.8633725,0.001
11.79166667,0.001,154.9200057,0.001
11.83333333,0.001,154.8633725,0.001
11.875,0.001,154.8633725,0.001
11.91666667,0.001,154.7784228,0.001
11.95833333,0.001,155.3164378,0.001
12,0.001,154.5518901,0.001
12.04166667,0.001,155.0615886,0.001
12.08333333,0.001,154.7501062,0.001
12.125,0.001,154.693473,0.001
12.16666667,0.001,154.8916891,0.001
12.20833333,0.001,154.9766388,0.001
12.25,0.001,154.9200057,0.001
12.29166667,0.001,154.9200057,0.001
12.33333333,0.001,154.8067393,0.001
12.375,0.001,155.033272,0.001
12.41666667,0.001,154.9766388,0.001
12.45833333,0.001,155.4013875,0.001
12.5,0.001,154.3253575,0.001
12.54166667,0.001,155.0049554,0.001
12.58333333,0.001,155.0615886,0.001
12.625,0.001,154.8067393,0.001
12.66666667,0.001,155.033272,0.001
12.70833333,0.001,155.033272,0.001
12.75,0.001,154.8067393,0.001
12.79166667,0.001,154.7784228,0.001
12.83333333,0.001,154.8067393,0.001
12.875,0.001,154.7217896,0.001
12.91666667,0.001,154.8633725,0.001
12.95833333,0.001,154.7501062,0.001
13,0.001,50.74331021,0.001
13.04166667,0.001,32.22426731,0.001
13.08333333,0.001,116.3528246,0.001
13.125,0.001,156.0243523,0.001
13.16666667,0.001,155.1465383,0.001
13.20833333,0.001,155.1182217,0.001
13.25,0.001,154.9766388,0.001
13.29166667,0.001,155.0049554,0.001
13.33333333,0.001,154.8067393,0.001
13.375,0.001,154.8916891,0.001
13.41666667,0.001,155.1748549,0.001
13.45833333,0.001,155.033272,0.001
13.5,0.001,154.9200057,0.001
13.54166667,0.001,139.6573694,0.001
13.58333333,0.001,138.2981736,0.001
13.625,0.001,138.1282741,0.001
13.66666667,0.001,138.2132238,0.001
13.70833333,0.001,138.3548067,0.001
13.75,0.001,138.3264902,0.001
13.79166667,0.001,138.4397565,0.001
13.83333333,0.001,138.0999575,0.001
13.875,0.001,138.0433244,0.001
13.91666667,0.001,138.1849073,0.001
13.95833333,0.001,138.3548067,0.001
14,0.001,138.3548067,0.001
14.04166667,0.001,138.2981736,0.001
14.08333333,0.001,138.3831233,0.001
14.125,0.001,138.2981736,0.001
14.16666667,0.001,138.3548067,0.001
14.20833333,0.001,138.3548067,0.001
14.25,0.001,138.4114399,0.001
14.29166667,0.001,138.3548067,0.001
14.33333333,0.001,138.3831233,0.001
14.375,0.001,138.4397565,0.001
14.41666667,0.001,138.4397565,0.001
14.45833333,0.001,138.3264902,0.001
14.5,0.001,138.3548067,0.001
14.54166667,0.001,133.2295059,0.001
14.58333333,0.001,123.6585021,0.001
14.625,0.001,123.4319694,0.001
14.66666667,0.001,123.3187031,0.001
14.70833333,0.001,123.6868186,0.001
14.75,0.001,123.6585021,0.001
14.79166667,0.001,123.5169192,0.001
14.83333333,0.001,123.6301855,0.001
14.875,0.001,123.6868186,0.001
14.91666667,0.001,123.7151352,0.001
14.95833333,0.001,123.7151352,0.001
15,0.001,123.7151352,0.001
15.04166667,0.001,123.7717684,0.001
15.08333333,0.001,123.7717684,0.001
15.125,0.001,123.6868186,0.001
15.16666667,0.001,123.8000849,0.001
15.20833333,0.001,123.7151352,0.001
15.25,0.001,123.6018689,0.001
15.29166667,0.001,123.4036528,0.001
15.33333333,0.001,123.6301855,0.001
15.375,0.001,123.7434518,0.001
15.41666667,0.001,123.6868186,0.001
15.45833333,0.001,123.7434518,0.001
15.5,0.001,123.3187031,0.001
15.54166667,0.001,123.5452357,0.001
15.58333333,0.001,123.5169192,0.001
15.625,0.001,123.2903865,0.001
15.66666667,0.001,123.4886026,0.001
15.70833333,0.001,123.7717684,0.001
15.75,0.001,123.8000849,0.001
15.79166667,0.001,123.8567181,0.001
15.83333333,0.001,123.8567181,0.001
15.875,0.001,123.6018689,0.001
15.91666667,0.001,123.8284015,0.001
15.95833333,0.001,123.8284015,0.001
16,0.001,123.7434518,0.001
16.04166667,0.001,123.7434518,0.001
16.08333333,0.001,123.8284015,0.001
16.125,0.001,123.9416678,0.001
16.16666667,0.001,123.7434518,0.001
16.20833333,0.001,123.8000849,0.001
16.25,0.001,123.8284015,0.001
16.29166667,0.001,123.7151352,0.001
16.33333333,0.001,123.9133513,0.001
16.375,0.001,123.9699844,0.001
16.41666667,0.001,123.8000849,0.001
16.45833333,0.001,123.7434518,0.001
16.5,0.001,123.5169192,0.001
16.54166667,0.001,123.6018689,0.001
