Segment#, Branch#, Distance(m), XCenter(m), YCenter(m), UTMZONE, BottomElev(m)
128,  4,       43743.10,   716942.91076,  4207764.97636, 10,   212.890
127,  4,       43341.67,   716798.35016,  4208120.86371, 10,   216.890
126,  4,       42969.51,   716784.19226,  4208492.52086, 10,   220.890
125,  4,       42583.32,   716853.44383,  4208866.37401, 10,   227.890
124,  4,       42180.82,   717050.87271,  4209210.29095, 10,   230.890
123,  4,       41779.08,   717235.01183,  4209557.74894, 10,   239.890
122,  4,       41438.13,   717209.80181,  4209864.15268, 10,   244.890
121,  4,       41194.42,   717080.93226,  4210070.09374, 10,   249.890
120,  4,       40953.24,   716968.99261,  4210283.69702, 10,   260.890
119,  4,       40639.26,   716822.42437,  4210561.35485, 10,   258.890
118,  4,       40298.46,   716649.54708,  4210854.42688, 10,   263.890
117,  4,       40004.37,   716500.14690,  4211107.02959, 10,   267.890
116,  4,       39737.74,   716357.23051,  4211330.37259, 10,   274.890
143,  5,       49444.74,   719375.39630,  4203237.47035, 10,   198.890
142,  5,       49049.95,   719742.58805,  4203092.82621, 10,   204.890
141,  5,       48649.95,   720103.72860,  4202924.41428, 10,   210.890
140,  5,       48205.85,   720425.51289,  4202630.73826, 10,   217.890
139,  5,       47733.92,   720754.19651,  4202297.54204, 10,   229.890
138,  5,       47080.82,   721273.29606,  4201901.22133, 10,   255.890
137,  5,       46441.26,   721731.04113,  4201466.06187, 10,   278.890
136,  5,       46055.43,   721945.58206,  4201145.37271, 10,   291.890
