$Tulloch Br1 inflow Tw year 2005 YC 04/11/2023,
",,,",
Jday,Inflow Tw
15.16666667,10.17
15.20833333,10.17
15.25,10.17
15.29166667,10.01
15.33333333,10.01
15.375,10.01
15.41666667,10.01
15.45833333,10.17
15.5,10.17
15.54166667,10.17
15.58333333,10.33
15.625,10.48
15.66666667,10.64
15.70833333,10.48
15.75,10.48
15.79166667,10.33
15.83333333,10.33
15.875,10.17
15.91666667,10.17
15.95833333,10.17
16,10.01
16.04166667,10.01
16.08333333,10.01
16.125,10.01
16.16666667,10.01
16.20833333,10.01
16.25,10.01
16.29166667,10.01
16.33333333,10.01
16.375,9.86
16.41666667,10.01
16.45833333,10.01
16.5,10.17
16.54166667,10.48
16.58333333,10.48
16.625,10.33
16.66666667,10.33
16.70833333,10.33
16.75,10.33
16.79166667,10.33
16.83333333,10.33
16.875,10.17
16.91666667,10.17
16.95833333,10.01
17,10.01
17.04166667,10.01
17.08333333,10.01
17.125,10.01
17.16666667,10.01
17.20833333,10.01
17.25,9.86
17.29166667,9.86
17.33333333,9.86
17.375,9.7
17.41666667,9.86
17.45833333,9.86
17.5,10.01
17.54166667,10.17
17.58333333,10.33
17.625,10.33
17.66666667,10.48
17.70833333,10.48
17.75,10.33
17.79166667,10.33
17.83333333,10.17
17.875,10.17
17.91666667,10.17
17.95833333,10.01
18,10.01
18.04166667,10.01
18.08333333,10.01
18.125,10.01
18.16666667,10.01
18.20833333,10.01
18.25,10.01
18.29166667,10.01
18.33333333,10.01
18.375,10.01
18.41666667,10.01
18.45833333,10.01
18.5,10.17
18.54166667,10.33
18.58333333,10.33
18.625,10.48
18.66666667,10.79
18.70833333,10.79
18.75,10.48
18.79166667,10.33
18.83333333,10.33
18.875,10.33
18.91666667,10.17
18.95833333,10.17
19,10.17
19.04166667,10.01
19.08333333,10.01
19.125,10.01
19.16666667,10.01
19.20833333,10.01
19.25,10.01
19.29166667,10.01
19.33333333,9.86
19.375,10.01
19.41666667,10.01
19.45833333,10.01
19.5,10.17
19.54166667,10.48
19.58333333,10.48
19.625,11.26
19.66666667,11.42
19.70833333,11.26
19.75,10.64
19.79166667,10.48
19.83333333,10.33
19.875,10.17
19.91666667,10.17
19.95833333,10.01
20,10.01
20.04166667,10.01
20.08333333,10.01
20.125,9.86
20.16666667,9.86
20.20833333,9.7
20.25,9.7
20.29166667,9.7
20.33333333,9.7
20.375,9.7
20.41666667,9.86
20.45833333,9.86
20.5,10.01
20.54166667,10.95
20.58333333,11.11
20.625,11.26
20.66666667,11.26
20.70833333,10.95
20.75,10.79
20.79166667,10.64
20.83333333,10.48
20.875,10.48
20.91666667,10.48
20.95833333,10.33
21,10.17
21.04166667,10.17
21.08333333,10.17
21.125,10.01
21.16666667,10.01
21.20833333,9.86
21.25,9.86
21.29166667,9.7
21.33333333,9.7
21.375,9.54
21.41666667,9.7
21.45833333,10.01
21.5,10.33
21.54166667,10.64
21.58333333,11.88
21.625,12.04
21.66666667,12.04
21.70833333,11.42
21.75,10.79
21.79166667,10.64
21.83333333,10.64
21.875,10.64
21.91666667,10.48
21.95833333,10.33
22,10.33
22.04166667,10.17
22.08333333,10.01
22.125,9.86
22.16666667,9.86
22.20833333,9.7
22.25,9.7
22.29166667,9.7
22.33333333,9.54
22.375,9.54
22.41666667,9.54
22.45833333,9.86
22.5,10.33
22.54166667,10.48
22.58333333,12.51
22.625,12.35
22.66666667,12.04
22.70833333,11.57
22.75,10.48
22.79166667,10.33
22.83333333,10.17
22.875,10.17
22.91666667,9.7
22.95833333,9.54
23,8.61
23.04166667,8.31
23.08333333,8.15
23.125,8.15
23.16666667,7.84
23.20833333,6.59
23.25,6.44
23.29166667,6.13
23.33333333,6.13
23.375,5.5
23.41666667,6.28
23.45833333,6.13
23.5,11.88
23.54166667,15.64
23.58333333,15.33
23.625,16.91
23.66666667,16.59
23.70833333,15.33
23.75,10.64
23.79166667,9.86
23.83333333,9.39
23.875,9.08
23.91666667,8.61
23.95833333,8.46
24,7.68
24.04166667,7.06
24.08333333,6.75
24.125,6.28
24.16666667,6.44
24.20833333,6.13
24.25,5.97
24.29166667,5.81
24.33333333,5.66
24.375,5.66
24.41666667,6.13
24.45833333,6.44
24.5,12.51
24.54166667,18.69
24.58333333,21.48
24.625,16.91
24.66666667,17.88
24.70833333,16.12
24.75,13.13
24.79166667,11.26
24.83333333,10.48
24.875,10.33
24.91666667,10.17
24.95833333,10.01
25,10.01
25.04166667,10.01
25.08333333,10.17
25.125,10.48
25.16666667,10.33
25.20833333,10.17
25.25,9.86
25.29166667,10.01
25.33333333,9.86
25.375,9.86
25.41666667,10.48
25.45833333,12.04
25.5,14.69
25.54166667,22.48
25.58333333,19.84
25.625,21.64
25.66666667,17.72
25.70833333,16.76
25.75,14.69
25.79166667,13.91
25.83333333,13.28
25.875,12.19
25.91666667,11.42
25.95833333,11.42
26,11.57
26.04166667,11.73
26.08333333,11.73
26.125,11.73
26.16666667,11.88
26.20833333,13.13
26.25,13.59
26.29166667,13.59
26.33333333,12.51
26.375,11.73
26.41666667,11.42
26.45833333,11.88
26.5,14.37
26.54166667,13.44
26.58333333,12.51
26.625,10.48
26.66666667,10.48
26.70833333,10.33
26.75,10.33
26.79166667,10.17
26.83333333,10.17
26.875,10.17
26.91666667,10.17
26.95833333,10.17
27,10.01
27.04166667,10.01
27.08333333,9.86
27.125,9.86
27.16666667,9.86
27.20833333,9.7
27.25,9.7
27.29166667,9.7
27.33333333,9.54
27.375,9.54
27.41666667,9.7
27.45833333,9.86
27.5,10.01
27.54166667,10.48
27.58333333,10.79
27.625,10.79
27.66666667,10.64
27.70833333,10.64
27.75,10.48
27.79166667,10.33
27.83333333,10.33
27.875,10.17
27.91666667,10.17
