$Tulloch Br1 inflow year 2005 YC 04/11/2023,
",,,",
Jday,Inflow
1,0.934447119
1.041666667,0.934447119
1.083333333,0.934447119
1.125,0.934447119
1.166666667,0.934447119
1.208333333,0.934447119
1.25,0.934447119
1.291666667,0.934447119
1.333333333,0.934447119
1.375,0.934447119
1.416666667,0.934447119
1.458333333,0.934447119
1.5,0.934447119
1.541666667,0.934447119
1.583333333,0.934447119
1.625,0.934447119
1.666666667,0.934447119
1.708333333,0.934447119
1.75,0.934447119
1.791666667,0.934447119
1.833333333,0.934447119
1.875,0.934447119
1.916666667,0.934447119
1.958333333,0.934447119
2,0.934447119
2.041666667,0.934447119
2.083333333,0.934447119
2.125,0.934447119
2.166666667,0.934447119
2.208333333,0.934447119
2.25,0.934447119
2.291666667,0.934447119
2.333333333,0.934447119
2.375,0.934447119
2.416666667,0.934447119
2.458333333,0.934447119
2.5,0.934447119
2.541666667,0.934447119
2.583333333,0.934447119
2.625,0.934447119
2.666666667,0.934447119
2.708333333,0.934447119
2.75,0.934447119
2.791666667,0.934447119
2.833333333,0.934447119
2.875,0.934447119
2.916666667,0.934447119
2.958333333,0.934447119
3,0.934447119
3.041666667,0.934447119
3.083333333,0.934447119
3.125,0.934447119
3.166666667,0.934447119
3.208333333,0.934447119
3.25,0.934447119
3.291666667,0.934447119
3.333333333,0.934447119
3.375,0.934447119
3.416666667,0.934447119
3.458333333,0.934447119
3.5,0.934447119
3.541666667,0.934447119
3.583333333,0.934447119
3.625,0.934447119
3.666666667,0.934447119
3.708333333,0.934447119
3.75,0.934447119
3.791666667,0.934447119
3.833333333,0.934447119
3.875,0.934447119
3.916666667,0.934447119
3.958333333,0.934447119
4,0.934447119
4.041666667,0.934447119
4.083333333,0.934447119
4.125,0.934447119
4.166666667,0.934447119
4.208333333,0.934447119
4.25,0.934447119
4.291666667,0.934447119
4.333333333,0.934447119
4.375,0.934447119
4.416666667,0.934447119
4.458333333,0.934447119
4.5,0.934447119
4.541666667,0.934447119
4.583333333,0.934447119
4.625,0.934447119
4.666666667,0.934447119
4.708333333,0.934447119
4.75,0.934447119
4.791666667,0.934447119
4.833333333,0.934447119
4.875,0.934447119
4.916666667,0.934447119
4.958333333,0.934447119
5,0.934447119
5.041666667,0.934447119
5.083333333,0.934447119
5.125,0.934447119
5.166666667,0.934447119
5.208333333,0.934447119
5.25,0.934447119
5.291666667,0.934447119
5.333333333,0.934447119
5.375,0.934447119
5.416666667,0.934447119
5.458333333,0.934447119
5.5,0.934447119
5.541666667,0.934447119
5.583333333,0.934447119
5.625,0.934447119
5.666666667,0.934447119
5.708333333,0.934447119
5.75,0.934447119
5.791666667,0.934447119
