FRICT,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,
LAYERH,,BR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BR2,,,,,,,,,,BR3,,,,,,,,,,,,,BR4,,,,,,,,,,,,,,,,,,,,BR5,,,,,,,,,K
1,0,101.4,132.41,128.31,86.54,138.09,153.53,97.53,159.33,162.28,124.18,128.98,148.53,176.84,190.34,276.58,272.79,253.22,278.22,281.78,255.47,351.55,311.7,362.61,290.29,289.11,256.68,284.78,305.28,295.67,299.91,347.61,314.69,471.5,356,423.07,461.9,731.62,569.08,510.43,540.4,576.3,923.73,467.86,494.78,484.5,453.22,524.37,468.37,803.95,626.79,658.81,975.45,1056.71,922.14,745.09,662.84,687.66,956.89,1299.87,850.24,947.43,1244.66,950.37,1003.94,1544.25,1625.49,1743.29,1559.07,1622.71,1507.96,2113.04,2275.57,2599.54,2287.84,2438.13,2438.11,3250.71,3250.73,1956.4,2511.11,2661.22,2836.43,3146.34,3175.35,2940.38,2550.82,640.1,808.39,727.49,0,0,90.36,102.62,145.36,210.74,184.95,227.74,191.45,211.58,0,0,83.16,90.93,231.98,297.95,325.35,244.12,398.92,389.76,507.45,1137.97,1364.36,0,0,354.81,380.07,405.76,276.01,440.28,963.89,1625.51,622.78,989.18,1609.23,2056.82,2503.2,2516.87,2383.11,2031.81,1950.55,1219.23,1219.23,0,0,459.49,675.87,1809.81,2438.11,2237.71,2385.73,2274.76,1381.75,0,
1,0,96.57,126.1,122.2,82.42,131.52,146.22,92.88,151.75,154.55,118.27,122.83,141.45,168.42,181.28,263.41,259.8,241.16,264.97,268.36,243.3,334.81,296.85,345.35,276.47,275.34,244.46,271.22,290.74,281.59,285.63,331.06,299.7,449.05,339.05,402.93,439.9,696.78,541.98,486.12,514.66,548.85,879.74,445.58,471.22,461.43,431.64,499.4,446.06,765.67,596.94,627.44,929,1006.39,878.23,709.61,631.27,654.91,911.32,1237.97,809.75,902.31,1185.39,905.11,956.13,1470.71,1548.09,1660.27,1484.83,1545.44,1436.15,2012.42,2167.21,2475.75,2178.9,2322.03,2322.01,3095.92,3095.93,1863.24,2391.54,2534.49,2701.36,2996.51,3024.14,2800.36,2429.35,609.62,769.9,692.85,0,0,86.06,97.73,138.44,200.7,176.14,216.89,182.33,201.51,0,0,79.2,86.6,220.93,283.76,309.86,232.5,379.93,371.2,483.29,1083.78,1299.39,0,0,337.92,361.97,386.44,262.86,419.32,917.99,1548.1,593.12,942.07,1532.6,1958.88,2384,2397.02,2269.63,1935.06,1857.67,1161.17,1161.17,0,0,437.61,643.69,1723.63,2322.01,2131.15,2272.12,2166.44,1315.95,0,
1,0,91.97,120.1,116.38,78.5,125.25,139.26,88.46,144.52,147.19,112.64,116.98,134.72,160.4,172.65,250.86,247.43,229.68,252.35,255.58,231.71,318.86,282.72,328.9,263.3,262.23,232.82,258.31,276.9,268.18,272.03,315.3,285.43,427.67,322.9,383.74,418.96,663.6,516.17,462.97,490.15,522.72,837.85,424.37,448.78,439.46,411.08,475.62,424.82,729.21,568.52,597.56,884.76,958.46,836.41,675.82,601.21,623.72,867.92,1179.02,771.19,859.34,1128.94,862.01,910.6,1400.68,1474.37,1581.21,1414.12,1471.85,1367.76,1916.59,2064.01,2357.86,2075.14,2211.45,2211.44,2948.49,2948.51,1774.51,2277.65,2413.8,2572.73,2853.82,2880.14,2667.01,2313.67,580.59,733.23,659.85,0,0,81.96,93.08,131.84,191.15,167.75,206.57,173.65,191.91,0,0,75.43,82.48,210.41,270.25,295.1,221.43,361.83,353.52,460.27,1032.17,1237.51,0,0,321.83,344.73,368.04,250.35,399.35,874.28,1474.39,564.88,897.21,1459.61,1865.6,2270.48,2282.87,2161.55,1842.91,1769.21,1105.87,1105.87,0,0,416.77,613.04,1641.55,2211.44,2029.67,2163.93,2063.28,1253.28,0,
1,0,87.59,114.38,110.84,74.76,119.29,132.63,84.25,137.64,140.18,107.27,111.41,128.3,152.76,164.43,238.92,235.65,218.74,240.34,243.41,220.68,303.68,269.26,313.24,250.77,249.74,221.73,246.01,263.71,255.41,259.08,300.28,271.84,407.3,307.53,365.47,399.01,632,491.59,440.93,466.81,497.83,797.95,404.16,427.41,418.53,391.51,452.97,404.59,694.49,541.45,569.1,842.63,912.82,796.58,643.64,572.58,594.02,826.59,1122.88,734.47,818.42,1075.18,820.96,867.24,1333.98,1404.16,1505.92,1346.78,1401.76,1302.63,1825.32,1965.73,2245.58,1976.33,2106.15,2106.13,2808.09,2808.1,1690.01,2169.19,2298.86,2450.22,2717.93,2742.99,2540.01,2203.49,552.94,698.32,628.43,0,0,78.06,88.64,125.57,182.04,159.76,196.73,165.38,182.78,0,0,71.84,78.55,200.39,257.38,281.05,210.88,344.6,336.69,438.36,983.02,1178.58,0,0,306.5,328.32,350.51,238.43,380.33,832.64,1404.18,537.98,854.49,1390.11,1776.76,2162.36,2174.16,2058.62,1755.15,1684.96,1053.21,1053.21,0,0,396.93,583.84,1563.38,2106.13,1933.02,2060.88,1965.02,1193.6,0,
1,0,83.42,108.93,105.56,71.2,113.61,126.31,80.24,131.09,133.51,102.16,106.11,122.19,145.49,156.6,227.54,224.42,208.33,228.89,231.82,210.17,289.22,256.43,298.32,238.83,237.85,211.17,234.29,251.15,243.25,246.74,285.98,258.89,387.91,292.88,348.06,380,601.9,468.18,419.93,444.58,474.12,759.96,384.91,407.05,398.6,372.87,431.4,385.33,661.42,515.66,542,802.5,869.35,758.65,612.99,545.32,565.74,787.23,1069.4,699.49,779.45,1023.99,781.87,825.94,1270.46,1337.3,1434.21,1282.65,1335.01,1240.6,1738.4,1872.12,2138.65,1882.22,2005.85,2005.84,2674.37,2674.38,1609.54,2065.9,2189.39,2333.54,2588.5,2612.37,2419.06,2098.56,526.61,665.07,598.51,0,0,74.34,84.42,119.59,173.38,152.16,187.36,157.51,174.07,0,0,68.42,74.81,190.85,245.12,267.67,200.84,328.19,320.65,417.48,936.21,1122.46,0,0,291.91,312.68,333.82,227.07,362.22,793,1337.31,512.36,813.8,1323.91,1692.15,2059.39,2070.63,1960.59,1671.58,1604.72,1003.06,1003.06,0,0,378.03,556.04,1488.93,2005.84,1840.97,1962.75,1871.45,1136.77,0,
1,0,79.45,103.74,100.53,67.81,108.2,120.3,76.42,124.84,127.15,97.3,101.06,116.37,138.56,149.14,216.71,213.74,198.41,217.99,220.78,200.16,275.45,244.22,284.12,227.45,226.52,201.12,223.14,239.19,231.67,234.99,272.36,246.57,369.44,278.94,331.49,361.91,573.24,445.89,399.93,423.41,451.54,723.77,366.58,387.67,379.62,355.11,410.86,366.98,629.92,491.11,516.19,764.29,827.96,722.52,583.8,519.35,538.8,749.75,1018.48,666.19,742.33,975.22,744.64,786.61,1209.96,1273.62,1365.91,1221.57,1271.44,1181.53,1655.62,1782.97,2036.81,1792.59,1910.34,1910.32,2547.02,2547.03,1532.89,1967.52,2085.13,2222.42,2465.24,2487.97,2303.86,1998.63,501.54,633.4,570.01,0,0,70.8,80.4,113.89,165.12,144.91,178.44,150.01,165.78,0,0,65.16,71.25,181.76,233.45,254.92,191.28,312.57,305.38,397.6,891.63,1069.01,0,0,278.01,297.79,317.93,216.26,344.97,755.23,1273.63,487.96,775.05,1260.87,1611.57,1961.32,1972.03,1867.23,1591.98,1528.31,955.3,955.3,0,0,360.02,529.56,1418.03,1910.32,1753.3,1869.28,1782.34,1082.63,0,
1,0,75.66,98.8,95.75,64.58,103.05,114.57,72.78,118.9,121.09,92.67,96.24,110.83,131.96,142.04,206.39,203.56,188.96,207.61,210.27,190.63,262.33,232.59,270.59,216.62,215.74,191.54,212.51,227.8,220.64,223.8,259.4,234.82,351.84,265.65,315.7,344.68,545.94,424.66,380.89,403.25,430.04,689.3,349.13,369.21,361.55,338.2,391.29,349.5,599.92,467.72,491.61,727.89,788.53,688.11,556,494.62,513.14,714.04,969.98,634.46,706.98,928.78,709.18,749.15,1152.34,1212.97,1300.87,1163.4,1210.89,1125.26,1576.78,1698.07,1939.82,1707.22,1819.37,1819.36,2425.73,2425.74,1459.9,1873.83,1985.84,2116.59,2347.85,2369.5,2194.16,1903.46,477.65,603.23,542.86,0,0,67.43,76.57,108.47,157.26,138.01,169.94,142.86,157.89,0,0,62.06,67.85,173.11,222.33,242.78,182.17,297.68,290.84,378.67,849.17,1018.1,0,0,264.77,283.61,302.79,205.96,328.55,719.27,1212.98,464.73,738.14,1200.83,1534.83,1867.93,1878.13,1778.32,1516.17,1455.53,909.81,909.81,0,0,342.88,504.35,1350.51,1819.36,1669.81,1780.27,1697.46,1031.08,0,
1,0,72.06,94.1,91.19,61.5,98.14,109.11,69.31,113.24,115.33,88.25,91.66,105.56,125.68,135.27,196.56,193.87,179.96,197.72,200.25,181.55,249.84,221.52,257.7,206.31,205.46,182.42,202.39,216.96,210.13,213.14,247.04,223.64,335.09,253,300.67,328.26,519.95,404.43,362.75,384.05,409.56,656.48,332.5,351.63,344.33,322.09,372.66,332.86,571.36,445.45,468.2,693.23,750.98,655.35,529.52,471.07,488.7,680.04,923.79,604.25,673.32,884.56,675.41,713.48,1097.47,1155.21,1238.92,1108,1153.23,1071.68,1501.7,1617.21,1847.45,1625.93,1732.73,1732.72,2310.22,2310.23,1390.38,1784.6,1891.28,2015.8,2236.05,2256.66,2089.67,1812.82,454.91,574.51,517.01,0,0,64.22,72.93,103.3,149.77,131.44,161.85,136.06,150.37,0,0,59.1,64.62,164.86,211.75,231.22,173.49,283.51,276.99,360.64,808.73,969.62,0,0,252.16,270.11,288.37,196.15,312.9,685.02,1155.22,442.6,702.99,1143.65,1461.74,1778.98,1788.69,1693.63,1443.97,1386.22,866.48,866.48,0,0,326.55,480.33,1286.2,1732.72,1590.3,1695.49,1616.63,981.98,0,
1,0,68.63,89.62,86.85,58.58,93.47,103.92,66.01,107.84,109.84,84.05,87.3,100.53,119.69,128.83,187.2,184.64,171.39,188.31,190.72,172.91,237.94,210.97,245.43,196.48,195.68,173.73,192.75,206.62,200.12,202.99,235.28,212.99,319.13,240.96,286.35,312.63,495.19,385.18,345.48,365.76,390.06,625.22,316.67,334.88,327.93,306.76,354.92,317.01,544.15,424.24,445.91,660.22,715.22,624.14,504.31,448.64,465.43,647.66,879.8,575.48,641.26,842.44,643.25,679.5,1045.21,1100.2,1179.93,1055.24,1098.32,1020.65,1430.19,1540.2,1759.47,1548.5,1650.22,1650.21,2200.21,2200.22,1324.17,1699.62,1801.22,1919.81,2129.57,2149.2,1990.16,1726.49,433.25,547.15,492.39,0,0,61.16,69.45,98.38,142.64,125.18,154.14,129.58,143.21,0,0,56.29,61.55,157.01,201.66,220.21,165.23,270.01,263.8,343.46,770.22,923.45,0,0,240.15,257.25,274.64,186.81,298,652.4,1100.21,421.52,669.52,1089.19,1392.14,1694.26,1703.52,1612.99,1375.21,1320.21,825.22,825.22,0,0,311,457.46,1224.95,1650.21,1514.57,1614.76,1539.65,935.22,0,
1,0,68.63,89.62,86.85,58.58,93.47,103.92,66.01,107.84,109.84,84.05,87.3,100.53,119.69,128.83,187.2,184.64,171.39,188.31,190.72,172.91,237.94,210.97,245.43,196.48,195.68,173.73,192.75,206.62,200.12,202.99,235.28,212.99,319.13,240.96,286.35,312.63,495.19,385.18,345.48,365.76,390.06,625.22,316.67,334.88,327.93,306.76,354.92,317.01,544.15,424.24,445.91,660.22,715.22,624.14,504.31,448.64,465.43,647.66,879.8,575.48,641.26,842.44,643.25,679.5,1045.21,1100.2,1179.93,1055.24,1098.32,1020.65,1430.19,1540.2,1759.47,1548.5,1650.22,1650.21,2200.21,2200.22,1324.17,1699.62,1801.22,1919.81,2129.57,2149.2,1990.16,1726.49,433.25,547.15,492.39,0,0,61.16,69.45,98.38,142.64,125.18,154.14,129.58,143.21,0,0,56.29,61.55,157.01,201.66,220.21,165.23,270.01,263.8,343.46,770.22,923.45,0,0,240.15,257.25,274.64,186.81,298,652.4,1100.21,421.52,669.52,1089.19,1392.14,1694.26,1703.52,1612.99,1375.21,1320.21,825.22,825.22,0,0,311,457.46,1224.95,1650.21,1514.57,1614.76,1539.65,935.22,0,
