FRICT,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,
LAYERH,,BR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BR2,,,,,,,,,,BR3,,,,,,,,,,,,,BR4,,,,,,,,,,,,,,,,,,,,BR5,,,,,,,,,K
1,0,68.63,89.62,72.55,48.93,63.71,93.85,66.01,92.29,109.84,81.54,87.3,100.53,118.38,119.7,187.2,184.64,142.97,186.18,183.68,172.91,235.14,210.97,245.43,176.59,195.68,173.11,175.8,206.62,187.65,183.82,225.42,211.07,319.13,240.96,286.35,312.63,495.19,385.18,345.48,365.76,390.06,625.22,306.72,334.88,327.93,305.44,326.94,306.68,525,424.24,438.22,660.21,715.21,624.14,504.31,436.5,465.43,647.66,877.78,498.15,594.81,842.44,613.82,679.5,1045.19,1100.2,1167.79,1052.01,1096.67,1020.65,1359.84,1540.2,1759.47,1548.5,1650.21,1650.21,2200.21,2200.21,1290.88,1673.93,1801.22,1919.81,2129.57,2132.11,1975.31,1690.27,433.25,540.01,482.14,0,0,50.16,56.96,80.69,116.98,108.68,136.54,118.58,143.21,0,0,56.29,61.55,157.01,176.12,220.21,165.23,264.37,259.71,343.46,770.21,923.45,0,0,240.15,257.25,250.29,186.81,283.36,465.32,1100.2,421.52,669.52,1050.29,1293.78,1678.51,1686.4,1612.99,1375.21,1320.21,825.22,825.22,0,0,311,455.77,1224.95,1650.2,1514.57,1610.29,1523.54,935.21,0,
1,0,55.34,72.27,64.77,43.68,60.51,90.46,63.12,88.4,106.88,79.82,85.37,98.13,117.18,118.48,186.77,181.87,142.43,184.99,162.32,170.67,233.23,207.34,244.96,175.98,194.26,172.48,174.35,206.04,186.91,157.73,223.73,209.21,317.5,236.04,285.18,311.47,495.15,385.14,344.05,362.24,388.36,619.37,305.6,328.86,326.92,304.46,323.99,304.39,524.5,417.18,436.5,660.21,715.2,617.66,492.7,435.33,462.69,608,874.85,493.75,590.81,826.95,611.14,676.82,1045.17,1100.19,1167.07,1046.91,1095.02,1017.21,1027,1540.18,1757.7,1546.45,1650.21,1650.21,2200.21,2200.21,1288.94,1671.58,1799.72,1917.62,2125.67,2131.07,1972.43,1687.44,430.93,538.44,479.71,0,0,39.16,44.47,62.99,91.33,108.68,118.94,107.58,143.2,0,0,46.43,50.77,155.57,175.69,220.2,164.74,262.68,257.96,342.35,770.21,919.42,0,0,238.36,254.38,247.79,180.49,279.9,464.46,1100.19,418.26,614.3,1047.98,1285.88,1673.73,1684.39,1608.19,1375.21,1320.21,825.21,825.21,0,0,304.76,454.3,1222.39,1650.19,1511.61,1606.63,1522.03,935.21,0,
1,0,49.37,64.47,55.98,37.76,57.31,87.49,61.39,85.18,104.41,78.49,83.78,96.23,116.07,117.51,186.33,181.14,141.89,183.82,161.27,168.42,231.69,206.73,244.52,175.43,193.03,171.85,173.25,205.51,186.3,156.65,222.56,207.39,316.13,235.06,284.04,310.31,495.13,385.12,342.82,360.38,387.18,614.24,305,324.1,326,303.53,317.15,302.48,524.01,416.26,435.52,660.2,715.19,614.91,492.26,434.36,460.25,606.79,873.02,489.53,588.18,824.48,609.47,675.2,1045.14,1100.17,1166.34,1042.07,1093.36,1013.35,1003.7,1540.17,1756.08,1544.42,1650.2,1650.21,2200.21,2200.21,1286.99,1669.23,1798.24,1916.38,2123.44,2130.03,1969.85,1683.92,429.06,537.61,478.54,0,0,28.16,31.98,62.99,91.33,108.68,118.94,107.58,143.19,0,0,35.43,49.47,154.46,175.32,220.19,164.29,261.32,256.2,341.59,770.2,918.62,0,0,236.92,252.19,246.08,179.4,277.04,463.62,1100.18,417.21,573.97,1045.83,1282.12,1670.5,1682.37,1603.34,1375.2,1320.2,825.21,825.21,0,0,301.46,452.9,1219.88,1650.18,1508.65,1603.15,1520.51,935.2,0,
1,0,45.94,59.98,44.29,29.87,54.07,84.82,59.65,82.29,102.15,77.1,82.39,94.59,115.08,116.67,185.87,180.39,141.35,182.67,160.31,166.17,230.35,206.14,244.1,174.92,191.93,171.23,172.19,204.99,185.69,155.62,221.62,205.6,315.15,234.17,282.98,309.1,495.11,383.94,341.69,358.81,386.2,612.79,304.39,319.88,325.16,302.61,316.65,300.72,523.51,415.36,434.61,660.2,715.18,612.21,491.83,433.64,457.74,605.68,871.27,485.69,585.55,822.24,607.79,673.6,1045.12,1100.15,1165.63,1041.29,1091.7,1008.04,984.91,1540.15,1754.48,1542.39,1650.2,1650.2,2200.2,2200.2,1285.05,1666.91,1796.75,1915.13,2121.88,2129,1968.22,1676.77,427.2,536.8,477.37,0,0,17.16,19.49,62.99,91.33,108.68,101.34,107.58,143.19,0,0,24.43,48.24,153.51,174.94,220.18,163.87,259.86,254.44,340.89,770.2,917.82,0,0,235.66,250.01,244.59,178.45,274.45,462.76,1100.17,416.27,566.24,1044.31,1279.28,1668.25,1680.32,1598.45,1375.2,1320.2,825.21,825.21,0,0,298.43,451.37,1217.41,1650.17,1506.46,1599.48,1518.99,935.19,0,
1,0,42.94,56.08,41.4,27.92,49.72,82.32,57.93,79.6,99.94,75.64,81.08,93.13,114.14,115.92,185.39,179.65,140.81,181.53,159.43,163.9,229.14,205.54,243.68,174.43,190.93,170.59,171.14,204.42,185.1,154.63,220.77,203.84,314.23,233.31,281.95,307.9,495.09,381.79,340.57,357.27,385.32,611.95,303.79,315.63,324.39,301.69,316.14,299.11,523.02,414.49,433.88,660.2,715.17,609.39,491.39,432.96,455.22,604.57,869.87,483.63,583.63,820.07,606.01,671.98,1043.54,1100.13,1164.9,1040.5,1090.01,968.24,975.76,1540.13,1752.86,1540.29,1650.19,1650.2,2200.2,2200.2,1283.35,1664.63,1784.31,1913.9,2120.32,2127.95,1966.9,1675.08,425.34,535.98,476.2,0,0,6.16,19.49,62.99,91.33,108.68,101.34,107.58,143.18,0,0,13.43,47.05,152.64,174.57,220.17,163.45,258.29,252.68,340.27,770.19,917.03,0,0,234.55,247.83,243.21,177.63,272.04,461.91,1100.15,415.35,558.99,1043.25,1276.53,1665.99,1678.18,1593.13,1375.19,1320.19,825.21,825.21,0,0,295.55,449.6,1214.95,1650.14,1504.94,1595.65,1517.44,935.19,0,
1,0,23.11,30.18,22.28,15.03,42.87,79.88,56.19,77.07,97.78,74.09,79.83,91.8,113.16,115.23,184.9,178.92,140.28,180.41,158.55,161.49,228.03,204.94,243.27,173.93,189.99,169.94,170.08,203.86,184.49,153.68,220.01,202.15,313.3,232.47,280.96,306.7,495.07,379.42,339.46,355.82,384.54,611.11,303.18,311.87,323.64,300.77,315.68,297.57,522.53,413.64,433.21,660.19,715.17,606.41,490.95,432.27,452.47,603.47,868.54,481.56,582.55,817.72,604.2,670.36,1038.79,1100.12,1164.19,1039.72,1088.21,932.07,970.59,1540.12,1751.26,1537.99,1650.19,1650.2,2200.2,2200.19,1281.75,1662.34,1732.98,1912.66,2118.75,2126.92,1965.58,1673.56,423.41,535.15,475.06,0,0,6.16,19.49,62.99,91.33,108.68,101.34,107.58,143.17,0,0,0,45.96,151.83,174.2,220.15,163.04,256.55,250.93,339.69,770.19,916.22,0,0,233.45,245.64,241.93,176.86,269.78,461.09,1100.14,414.44,552.31,1042.2,1273.77,1663.32,1675.98,1587.19,1375.19,1320.19,825.2,825.2,0,0,292.75,447.59,1212.44,1650.13,1503.43,1591.76,1515.75,935.18,0,
1,0,0,0,0,0,35.79,77.39,54.46,74.66,95.66,72.44,78.57,90.62,112.13,114.59,184.37,178.18,139.74,179.21,157.71,158.79,227.01,204.09,242.85,173.43,189.12,169.28,169.03,203.27,183.89,152.77,219.33,200.99,312.39,231.65,280.03,305.5,483.59,377,338.34,354.46,383.83,610.23,302.58,308.54,322.96,299.86,315.32,296.07,522.1,412.79,432.54,660.19,715.15,603.39,490.52,431.6,449.56,602.38,867.17,479.55,581.48,815.1,602.78,668.75,1033.42,1048.18,1163.46,1038.94,1086.18,916.2,965.68,1533.04,1749.23,1535.58,1650.18,1650.19,2200.19,2200.19,1280.15,1659.96,1699.37,1911.42,2117.01,2125.87,1964.25,1672.03,421.4,534.33,473.92,0,0,6.16,19.49,62.99,91.33,108.68,101.34,107.58,143.15,0,0,0,44.96,151.11,173.82,220.14,162.62,254.6,249.28,339.11,770.18,915.46,0,0,232.31,243.43,240.71,176.14,267.59,460.26,1100.12,413.53,545.38,1041.15,1270.95,1659.98,1673.78,1581.09,1375.18,1320.19,825.2,825.2,0,0,289.74,444.52,1209.92,1650.12,1501.91,1587.75,1513.89,935.18,0,
1,0,0,0,0,0,28.79,74.54,52.73,72.2,93.54,70.68,77.3,89.51,111.06,114,183.76,177.44,139.22,177.78,156.86,155.77,225.93,202.97,242.42,172.93,188.3,168.64,167.97,202.66,183.29,151.89,218.68,200,311.47,230.81,279.1,304.32,470.94,374.53,337.23,353.11,383.14,609.32,301.97,305.51,322.32,298.95,314.96,294.58,521.68,411.97,431.89,660.18,715.14,600.56,490.08,430.93,446.62,601.29,865.74,477.74,580.42,812.41,602.43,666.7,1028.02,1033.18,1162.73,1038.15,1084.16,901.93,961.41,1511.99,1746.53,1533.17,1650.18,1650.19,2200.19,2200.19,1278.55,1656.68,1691,1910.33,2114.92,2124.8,1962.93,1670.52,419.41,533.5,472.78,0,0,6.16,19.49,62.99,91.33,108.68,101.34,107.58,143.14,0,0,0,43.96,150.43,173.45,220.13,162.22,252.48,247.75,337.66,770.18,914.74,0,0,231.02,240.53,239.54,175.49,265.5,459.44,1100.11,412.63,536.67,1040.09,1267.4,1656.04,1670.83,1575.01,1375.18,1320.18,825.2,825.2,0,0,286.14,438.48,1207.29,1650.11,1500.4,1583.6,1512.03,935.17,0,
1,0,0,0,0,0,21.86,69.91,51,68.78,91.44,68.62,75.96,88.34,109.91,113.34,182.84,176.72,138.68,176.12,156.02,152.65,224.35,201.82,241.98,172.43,187.52,168,166.91,202.04,182.69,151.04,218.08,199,310.55,229.98,278.22,303.13,467.85,372.03,336.13,351.8,382.51,608.41,301.37,302.61,321.67,298.05,314.6,293.15,521.25,411.17,431.34,660.18,715.13,597.91,489.7,430.25,443.72,600.03,864.25,476.01,579.35,809.71,602.09,664.63,1022.27,1028.12,1162.01,1037.37,1082.13,887.03,957.29,1480.56,1743.8,1530.75,1650.17,1650.19,2200.19,2200.18,1276.88,1653.29,1683.79,1909.27,2112.69,2123.68,1961.38,1668.73,417.34,532.66,471.61,0,0,6.16,19.49,62.99,91.33,108.68,101.34,107.58,143.14,0,0,0,42.93,148.96,173.07,220.12,161.81,250.43,246.26,334.75,770.17,914.01,0,0,229.54,237.07,238.39,174.87,263.36,458.56,1100.1,411.75,524.24,1039.04,1263.28,1650.84,1666.28,1568.63,1375.17,1320.18,825.19,825.2,0,0,281.31,432.75,1204.48,1649.7,1498.88,1579.27,1510.14,935.15,0,
1,0,0,0,0,0,15,61.46,49.27,64.33,88.1,66.09,74.56,87.09,108.71,112.02,181.52,175.98,138.15,174.36,155.19,149.52,221.66,200.66,241.53,171.93,186.77,167.37,165.86,201.38,182.08,150.21,217.5,197.99,309.65,229.14,277.35,301.94,464.02,369.53,335.02,350.52,381.94,607.46,300.76,299.52,321.09,297.14,314.25,291.67,520.82,410.37,430.82,660.17,715.12,595.4,489.37,429.58,440.9,598.61,862.73,474.16,578.28,807.05,601.73,660.75,1015.64,1022.95,1161.26,1036.55,1080.1,871.93,953.1,1455.15,1741.1,1528.31,1650.17,1650.18,2200.18,2200.18,1274.06,1649.85,1677.02,1908.23,2110.47,2122.55,1959.07,1665.17,415.05,531.83,470.47,0,0,6.16,19.49,62.99,91.33,108.68,101.34,107.58,143.13,0,0,0,41.91,146.49,172.7,220.12,161.4,248.56,244.75,331.22,770.17,913.29,0,0,226.34,233.52,237.27,174.27,260.79,457.49,1100.09,410.88,511.37,1037.66,1259.02,1645.15,1660.51,1561.23,1375.17,1320.17,825.19,825.19,0,0,265.32,427.93,1201.61,1647.35,1497.36,1574.71,1507.52,935.15,0,
1,0,0,0,0,0,8.21,50.4,47.53,59.65,84.23,63.36,73.07,85.72,107.42,109.92,180.03,175.24,137.61,172.38,154.32,146.39,218.55,199.5,241.07,171.42,186.03,166.74,164.8,200.71,181.49,149.39,216.96,196.99,308.74,228.31,276.28,300.8,459.29,367.04,333.92,349.25,381.37,606.33,300.17,296.21,320.52,296.25,313.9,290.22,520.39,409.54,430.3,660.17,715.11,592.99,489.03,428.92,438.1,597.08,861.1,471.69,577.21,804.43,601.38,655.9,1007.14,1017.64,1160.46,1035.56,1078.08,858.5,948.93,1439.87,1738.44,1525.88,1650.15,1650.18,2200.18,2200.17,1270.98,1646.37,1670.48,1907.17,2107.93,2121.42,1956.64,1661.57,412.76,530.98,469.35,0,0,6.16,19.49,62.99,91.33,108.68,101.34,107.58,143.12,0,0,0,40.87,143.83,172.33,220.11,161,246.84,243.24,327.66,770.15,912.56,0,0,216.68,229.93,236.19,173.71,257.41,456.41,1099.84,409.99,500.61,1035.23,1254.46,1639.35,1654.14,1553.23,1375.15,1320.17,825.19,825.19,0,0,254.42,422.43,1198.6,1643.38,1495.77,1569.93,1503.76,935.14,0,
1,0,0,0,0,0,0,35.77,42.31,54.69,80.14,60.64,71.49,84.22,105.93,107.23,178.52,174.52,137.08,170.3,153.45,143.25,215.42,198.33,240.59,170.93,185.16,166.12,163.75,199.99,180.88,148.6,216.44,195.97,307.49,227.47,275.12,299.65,454.47,364.54,332.83,348.15,380.81,605.07,299.56,292.84,319.96,295.33,313.54,288.82,519.96,408.68,429.78,660.17,715.11,590.7,488.7,428.27,435.31,595.13,859.41,468.27,576.15,801.83,601.03,650.95,991.23,1012.21,1159.66,1034.41,1076.04,848.24,944.78,1425.4,1735.78,1523.42,1650.15,1650.18,2200.18,2200.17,1267.79,1642.88,1664.09,1906.11,2105.2,2120.28,1954.14,1659.71,410.27,530.07,468.22,0,0,6.16,19.49,62.99,91.33,108.68,101.34,107.58,143.11,0,0,0,39.81,141.24,171.95,220.1,160.6,245.25,241.75,324.58,770.15,911.83,0,0,205.89,226.3,235.1,173.16,253.98,455.18,1096.74,408.93,490.8,1032.65,1249.92,1633.27,1647.71,1545.26,1375.14,1320.15,825.18,825.19,0,0,230.54,415.95,1195.58,1639.48,1493.7,1564.81,1500.11,935.14,0,
1,0,0,0,0,0,0,0,25.94,49.42,75.79,57.94,69.78,82.5,103.81,104.3,177.02,173.78,136.55,168.22,152.56,140.11,212.31,197.18,239.77,170.42,183.83,165.5,162.69,199.24,180.28,147.82,215.94,194.95,305.04,226.63,273.9,298.51,449.65,362.03,331.73,346.96,380.28,603.28,298.97,289.45,319.37,294.22,313.2,287.4,519.53,407.83,429.25,660.15,715.1,588.51,488.37,427.63,432.56,592.88,857.64,462.29,575.08,799.27,600.68,645.9,971.27,1006.63,1158.87,1033.25,1074.02,840.6,940.71,1409.77,1733.15,1520.97,1650.15,1650.17,2200.17,2200.15,1264.35,1639.36,1657.82,1905.06,2102.45,2119.15,1951.37,1658.18,407.67,529.11,467.09,0,0,6.16,19.49,62.99,91.33,108.68,101.34,107.58,143.11,0,0,0,38.72,138.61,171.59,220.09,160.2,243.74,240.24,321.98,770.14,911.11,0,0,197.69,222.65,233.97,172.65,250.5,451.96,1092.09,407.79,481.38,1029.4,1245.37,1626.66,1639.35,1537.28,1375.14,1320.15,825.18,825.18,0,0,215.03,408.31,1125.76,1635.65,1491.26,1559.45,1496.69,935.13,0,
1,0,0,0,0,0,0,0,9.14,43.75,71.13,55.23,67.54,80.48,100.93,101.33,175.53,173.05,136.03,166.13,151.65,136.97,209.23,196.01,237.4,169.93,181.61,164.89,161.63,198.45,179.69,147.07,215.42,193.93,301.95,225.8,272.58,297.36,444.81,359.54,330.64,345.77,379.79,600.95,298.36,286.06,318.78,292.94,312.79,285.96,519.1,406.64,428.71,660.15,714.59,586.38,488.03,426.98,429.81,590.58,855.64,455.51,573.96,796.74,600.33,640.74,963.62,1000.89,1158.08,1032.11,1071.98,832.94,936.64,1388.74,1730.56,1518.51,1650.14,1650.17,2200.17,2200.15,1260.89,1635.83,1649.78,1904,2099.7,2118.01,1948.47,1656.67,405.06,527.95,465.95,0,0,6.16,19.49,62.99,91.33,108.68,101.34,107.58,143.1,0,0,0,37.61,135.93,171.22,220.08,159.8,242.23,238.73,319.52,770.14,910.31,0,0,191.53,218.96,232.79,172.15,246.97,431.94,1087.45,406.31,472.2,1024.94,1240.81,1619.26,1628.34,1529.32,1375.13,1320.14,825.18,825.18,0,0,204.74,400.94,1096.68,1631.87,1488.81,1553.89,1493.24,935.12,0,
1,0,0,0,0,0,0,0,0,37.58,66.01,52.49,64.79,78.13,97.74,98.36,172.11,172.33,135.5,164.02,150.72,133.83,206.24,194.84,234.41,169.42,179.04,164.25,160.58,197.6,179.08,146.31,214.84,192.9,298.3,224.96,271.06,296.22,439.96,357.04,329.55,344.58,379.28,598.82,297.77,282.61,318.18,291.64,309.25,284.52,518.67,404.72,428.14,660.14,712.59,584.34,487.7,426.26,427.08,587.87,853.62,449,572.75,794.24,599.97,635.45,958.85,995.4,1157.29,1030.95,1069.95,821.72,932.39,1363.8,1727.97,1516.03,1650.14,1650.17,2200.17,2200.15,1257.27,1632.24,1640.31,1902.23,2096.94,2116.42,1945.22,1655.14,402.46,526.16,464.78,0,0,6.16,19.49,62.99,91.33,108.68,101.34,107.58,143.09,0,0,0,36.47,133.2,170.84,220.07,159.41,240.48,237.23,317.06,770.13,909.47,0,0,185.53,215.22,231.45,171.66,243.36,422.36,1082.75,404.49,462.92,1020.56,1236.03,1611.38,1617.18,1521.27,1375.13,1320.14,825.18,825.18,0,0,195.72,394.82,1090.68,1628.17,1486.14,1548.54,1489.73,935.12,0,
1,0,0,0,0,0,0,0,0,30.71,59.79,49.73,61.89,75.74,94.03,95.35,166.4,170.01,134.97,161.89,149.77,130.68,203.25,193.68,231.37,168.93,176.36,163.17,159.52,196.71,178.48,145.59,214.2,191.86,294.39,224.13,269.38,295.08,435.12,354.56,328.37,343.21,378.79,597.2,297.18,279.17,317.54,290.33,305.55,283.04,518.24,402.66,427.58,660.14,709.86,582.35,487.37,425.43,424.38,584.64,851.6,443.66,571.51,791.77,599.62,630.04,954.92,991,1156.5,1029.74,1067.92,770.55,928.1,1343.57,1725.41,1513.55,1650.13,1650.15,2200.15,2200.14,1253.63,1628.63,1630.6,1899.67,2094.19,2113.93,1940.82,1652.51,399.84,524.08,463.63,0,0,6.16,19.49,62.99,91.33,108.68,101.34,107.58,143.08,0,0,0,35.29,130.39,170.47,220.06,159.02,238.47,235.72,314.62,770.13,908.62,0,0,180.29,211.44,229.92,171.18,239.67,416.34,1077.82,402.6,453.44,1016.28,1228.5,1603.54,1606.21,1512.89,1375.12,1320.13,825.17,825.18,0,0,187.03,389.19,1084.67,1624.5,1482,1543.8,1486.16,935.11,0,
1,0,0,0,0,0,0,0,0,22.34,52.29,46.93,58.93,73.34,89.75,92.22,160.19,165.02,134.44,159.72,148.8,127.52,200.28,192.5,228.31,168.42,173.5,160.64,158.47,195.73,177.88,144.86,213.54,190.75,290.47,223.28,267.64,293.93,430.23,352.12,326.81,341.83,378.21,595.9,296.57,275.68,316.82,289.04,301.83,281.25,517.81,400.59,427.01,660.13,707.66,580.39,487.03,424.51,421.69,581.05,849.55,438.9,570.26,789.33,599.27,624.6,951.27,986.82,1155.7,1028.41,1065.89,723.64,923.76,1328.53,1722.88,1511.06,1650.13,1650.15,2200.15,2200.14,1249.89,1624.88,1620.48,1897.03,2091.43,2111.43,1936.37,1643.52,397.2,522.01,462.47,0,0,6.16,19.49,62.99,91.33,108.68,101.34,107.58,143.08,0,0,0,34.06,127.53,170.09,220.04,158.16,236.42,234.2,312.21,770.12,907.79,0,0,176.64,207.63,228.02,170.71,235.81,413.69,1072.61,400.72,443.82,1012.14,1220.7,1595.73,1595.39,1504.03,1375.12,1320.13,825.17,825.17,0,0,178.13,384.41,1078.57,1620.89,1476.55,1539.37,1482.49,935.11,0,
1,0,0,0,0,0,0,0,0,0,44.45,44.09,55.9,70.92,85.23,88.89,153.82,159.59,133.91,157.53,147.74,124.37,197.31,191.32,225.21,167.93,170.48,157.78,157.42,194.65,177.21,144.09,212.84,189.01,286.53,222.44,265.9,292.78,425.29,349.7,324.91,340.31,377.55,594.7,295.98,272.16,316.07,287.73,298.1,278.89,517.39,398.53,426.43,660.13,705.41,578.28,486.7,423.36,418.98,577.36,847.48,434.53,569.02,786.96,598.92,620.19,947.52,983.35,1154.62,1026.99,1063.85,684.95,919.23,1314.41,1720.35,1508.55,1650.12,1650.15,2200.14,2200.13,1246.12,1621.06,1610.14,1894.35,2088.67,2108.6,1931.94,1639.52,394.55,519.93,461.32,0,0,6.16,19.49,62.99,91.33,108.68,101.34,107.58,143.07,0,0,0,32.77,124.89,169.72,220.03,156.42,234.39,232.69,309.84,770.12,906.94,0,0,173.33,203.76,225.36,170.09,231.65,411.33,1067.09,398.85,433.96,1008.12,1213.45,1587.95,1585.1,1494.86,1375.11,1320.12,825.17,825.17,0,0,169.04,379.53,1072.43,1617.33,1470.59,1535.06,1478.75,935.1,0,
1,0,0,0,0,0,0,0,0,0,36.29,40.85,52.78,63.82,80.33,85.36,147.08,153.66,133.39,155.1,146.17,121.21,194.4,190.11,222.08,167.42,167.39,154.78,156.34,193.4,176.17,143.3,212.08,187.15,282.6,221.61,264.18,291.62,420.3,347.28,322.86,338.64,376.86,593.56,295.38,268.41,314.47,286.42,294.39,276.42,516.96,396.46,425.79,660.13,702.85,575.98,486.37,421.62,416.27,573.65,845.37,431.19,567.77,784.67,598.57,616.77,943.65,980.41,1152.65,1025.57,1061.82,656.73,914.57,1302.25,1717.85,1506.04,1650.12,1650.14,2200.14,2200.13,1242.3,1616.82,1599.18,1891.65,2085.91,2104.97,1927.51,1634.4,391.91,517.86,460.14,0,0,6.16,19.49,62.99,91.33,108.68,101.34,107.58,143.06,0,0,0,31.39,122.17,169.06,220.02,154.35,232.36,231.19,307.48,770.11,906.09,0,0,169.8,199.87,222.63,169.39,226.9,408.99,1061.18,396.98,423.69,1004.19,1206.21,1580.16,1575.54,1485.48,1375.11,1320.12,825.15,825.17,0,0,159.91,374.5,1066.14,1613.82,1463.5,1530.95,1474.92,935.1,0,
1,0,0,0,0,0,0,0,0,0,27.01,36.8,49.45,56,75.26,81.62,140,147.21,132.86,151.82,143.66,118.05,191.6,187.22,218.91,166.93,164.35,151.68,155.18,192.03,174.54,142.48,211.29,185.28,278.67,220.76,262.44,290.48,415.24,344.87,320.79,336.24,375.02,592.47,294.75,264.52,312.32,285.11,290.86,273.87,516.53,394.41,425.11,660.12,699.91,573.75,486.02,419.57,413.57,569.94,843.13,427.86,566.52,782.46,598.22,613.34,939.58,977.7,1150.64,1024.16,1059.78,643.79,910.06,1293.91,1715.38,1503.52,1650.11,1650.14,2200.14,2200.13,1238.46,1612.52,1587.18,1888.94,2083.15,2101.29,1923.09,1628.24,389.28,515.8,458.88,0,0,6.16,19.49,62.99,91.33,108.68,101.34,107.58,143.04,0,0,0,29.06,119.02,166.8,219.19,152.28,230.38,229.67,305.13,770.11,905.16,0,0,166.17,195.92,219.84,168.63,221.58,406.6,1054.77,395.12,413.42,999.9,1198.91,1572.27,1566.18,1475.93,1375.1,1320.11,825.15,825.17,0,0,150.48,369.27,1059.77,1610.27,1455.2,1527.2,1470.99,935.09,0,
1,0,0,0,0,0,0,0,0,0,14.3,32.31,45.49,47.97,70.06,77.64,132.77,140.25,132.28,147.68,141.1,114.88,188.66,184.04,215.7,166.42,161.36,148.54,153.49,190.56,172.78,141.64,210.4,183.43,274.75,219.92,260.7,289.32,410.11,342.5,318.73,333.48,370.52,591.38,293.84,260.61,309.62,283.8,287.35,271.17,516.09,392.35,424.42,660.12,696.98,571.54,485.69,417.53,410.88,566.23,840.75,424.55,563.26,780.31,597.88,609.91,935.29,975.1,1148.55,1022.81,1057.75,634.41,905.84,1288.05,1712.91,1501.01,1650.11,1650.14,2200.13,2200.12,1234.59,1608.12,1575.23,1885.98,2080.38,2097.59,1918.68,1623.02,386.66,513.73,457.52,0,0,0,19.49,62.99,91.33,108.68,101.34,107.58,143.04,0,0,0,25.5,115.69,164.21,218.12,150.21,228.54,228.15,302.78,770.1,904.19,0,0,162.46,191.92,217.01,167.81,216.39,404.21,1047.71,393.26,403.6,994.17,1191.42,1564.2,1556.94,1466.15,1375.1,1320.11,825.15,825.15,0,0,140.18,363.86,1053.27,1606.59,1445.91,1523.64,1466.96,935.08,0,
1,0,0,0,0,0,0,0,0,0,0,23.19,40.54,39.73,64.1,73.35,125.31,132.48,131.01,143.43,138.55,111.73,185.35,180.86,212.4,165.73,158.38,145.39,150.98,189.08,171.02,140.77,209.32,181.57,270.82,219.08,258.97,288.17,404.9,340.15,316.65,330.68,364.96,588.96,292.49,256.7,306.42,282.48,283.86,268.41,515.66,390.29,423.69,660.11,694.06,569.38,485.36,415.49,408.21,562.51,838.34,421.26,512.71,778.16,597.54,606.58,930.78,972.48,1146.11,1021.6,1055.71,627.64,901.9,1283.1,1710.49,1498.46,1650.1,1650.13,2200.13,2200.12,1230.69,1603.73,1564.12,1882.87,2077.6,2093.88,1914.26,1618,384.05,511.68,456.17,0,0,0,19.49,62.99,91.33,108.68,101.34,107.58,143.03,0,0,0,21.58,112.33,161.59,216.73,148.14,226.74,226.64,300.44,770.1,903.22,0,0,158.7,187.87,214.1,166.9,211.2,401.78,1040.13,391.41,394.11,988.38,1183.92,1555.98,1547.72,1456.2,1375.09,1320.11,825.15,825.15,0,0,129.43,358.24,1046.95,1602.9,1434.81,1520.57,1462.8,935.08,0,
1,0,0,0,0,0,0,0,0,0,0,0,32.52,31.26,56.74,68.01,117.52,124.53,127.99,139.15,135.98,108.6,182.04,177.67,208.97,164.09,155.36,142.2,147.88,187.58,169.27,139.88,207.72,179.71,266.9,218.21,257.24,287.01,399.53,337.83,314.55,327.71,359.76,585.33,290.73,252.78,302.53,281.16,280.43,265.52,515.23,388.25,422.74,660.11,691.13,567.27,485.03,413.45,405.47,558.78,835.89,417.99,456.01,776.03,597.2,603.43,925.98,969.86,1143.54,1020.42,1053.68,622.13,897.86,1278.52,1708.14,1495.91,1650.1,1650.13,2200.13,2200.11,1226.73,1599.37,1553.73,1879.74,2074.83,2090.18,1909.86,1613.13,381.44,509.61,454.81,0,0,0,19.49,62.99,91.33,108.68,101.34,107.58,143.02,0,0,0,17.49,108.96,158.98,212.14,146.08,224.95,225.13,298.1,770.09,901.22,0,0,154.87,183.62,211.13,165.79,206.03,399.32,1034.87,389.58,386.01,982.69,1176.19,1547.55,1538.53,1446.09,1375.09,1320.1,825.14,825.15,0,0,118.2,352.35,1040.78,1599.15,1418.53,1517.49,1458.52,935.07,0,
