$NML Br1 inflow year 2005 sum of NF MF Collierville PH Stanislaus PH YC 02/02/2023 ,
",,,",
Jday,Flow
13.875,30.3093
13.917,30.3093
13.958,30.3093
14.000,28.8377
14.042,28.8377
14.083,28.8377
14.125,28.8377
14.167,28.8377
14.208,28.8377
14.250,28.8377
14.292,28.8377
14.333,28.8377
14.375,28.8377
14.417,28.8377
14.458,28.8377
14.500,28.8377
14.542,28.8377
14.583,28.8377
14.625,28.8377
14.667,28.8377
14.708,28.8377
14.750,28.8377
14.792,28.8377
14.833,28.8377
14.875,28.8377
14.917,28.8377
14.958,28.8377
15.000,27.1397
15.042,27.1397
15.083,27.1397
15.125,27.1397
15.167,27.1397
15.208,27.1397
15.250,27.1397
15.292,27.1397
15.333,27.1397
15.375,27.1397
15.417,27.1397
15.458,27.1397
15.500,27.1397
15.542,27.1397
15.583,27.1397
15.625,27.1397
15.667,27.1397
15.708,27.1397
15.750,27.1397
15.792,27.1397
15.833,27.1397
15.875,27.1397
15.917,27.1397
15.958,27.1397
16.000,25.1587
16.042,25.1587
16.083,25.1587
16.125,25.1587
16.167,25.1587
16.208,25.1587
16.250,25.1587
16.292,25.1587
16.333,25.1587
16.375,25.1587
16.417,25.1587
16.458,25.1587
16.500,25.1587
16.542,25.1587
16.583,25.1587
16.625,25.1587
16.667,25.1587
16.708,25.1587
16.750,25.1587
16.792,25.1587
16.833,25.1587
16.875,25.1587
16.917,25.1587
16.958,25.1587
17.000,27.2246
17.042,27.2246
17.083,27.2246
17.125,27.2246
17.167,27.2246
17.208,27.2246
17.250,27.2246
17.292,27.2246
17.333,27.2246
17.375,27.2246
17.417,27.2246
17.458,27.2246
17.500,27.2246
17.542,27.2246
17.583,27.2246
17.625,27.2246
17.667,27.2246
17.708,27.2246
17.750,27.2246
17.792,27.2246
17.833,27.2246
17.875,27.2246
17.917,27.2246
17.958,27.2246
18.000,30.1395
18.042,30.1395
18.083,30.1395
18.125,30.1395
18.167,30.1395
18.208,30.1395
18.250,30.1395
18.292,30.1395
18.333,30.1395
18.375,30.1395
18.417,30.1395
18.458,30.1395
18.500,30.1395
18.542,30.1395
18.583,30.1395
18.625,30.1395
18.667,30.1395
18.708,30.1395
18.750,30.1395
18.792,30.1395
18.833,30.1395
18.875,30.1395
18.917,30.1395
18.958,30.1395
19.000,29.0358
19.042,29.0358
19.083,29.0358
19.125,29.0358
19.167,29.0358
19.208,29.0358
19.250,29.0358
19.292,29.0358
19.333,29.0358
19.375,29.0358
19.417,29.0358
19.458,29.0358
19.500,29.0358
19.542,29.0358
19.583,29.0358
19.625,29.0358
19.667,29.0358
19.708,29.0358
19.750,29.0358
19.792,29.0358
19.833,29.0358
19.875,29.0358
19.917,29.0358
19.958,29.0358
20.000,26.9133
20.042,26.9133
20.083,26.9133
20.125,26.9133
20.167,26.9133
20.208,26.9133
20.250,26.9133
20.292,26.9133
20.333,26.9133
20.375,26.9133
20.417,26.9133
20.458,26.9133
20.500,26.9133
20.542,26.9133
20.583,26.9133
20.625,26.9133
20.667,26.9133
20.708,26.9133
20.750,26.9133
20.792,26.9133
20.833,26.9133
20.875,26.9133
20.917,26.9133
20.958,26.9133
21.000,27.8755
21.042,27.8755
21.083,27.8755
21.125,27.8755
21.167,27.8755
21.208,27.8755
21.250,27.8755
21.292,27.8755
21.333,27.8755
21.375,27.8755
21.417,27.8755
21.458,27.8755
21.500,27.8755
21.542,27.8755
21.583,27.8755
21.625,27.8755
21.667,27.8755
21.708,27.8755
21.750,27.8755
21.792,27.8755
21.833,27.8755
21.875,27.8755
21.917,27.8755
21.958,27.8755
22.000,28.1585
22.042,28.1585
22.083,28.1585
22.125,28.1585
22.167,28.1585
22.208,28.1585
22.250,28.1585
22.292,28.1585
22.333,28.1585
22.375,28.1585
22.417,28.1585
22.458,28.1585
22.500,28.1585
22.542,28.1585
22.583,28.1585
22.625,28.1585
22.667,28.1585
22.708,28.1585
22.750,28.1585
22.792,28.1585
22.833,28.1585
22.875,28.1585
22.917,28.1585
22.958,28.1585
23.000,23.1777
23.042,23.1777
23.083,23.1777
23.125,23.1777
23.167,23.1777
23.208,23.1777
23.250,23.1777
23.292,23.1777
23.333,23.1777
23.375,23.1777
23.417,23.1777
23.458,23.1777
23.500,23.1777
23.542,23.1777
23.583,23.1777
23.625,23.1777
23.667,23.1777
23.708,23.1777
23.750,23.1777
23.792,23.1777
23.833,23.1777
23.875,23.1777
23.917,23.1777
23.958,23.1777
24.000,22.8664
24.042,22.8664
24.083,22.8664
24.125,22.8664
24.167,22.8664
24.208,22.8664
24.250,22.8664
24.292,22.8664
24.333,22.8664
24.375,22.8664
24.417,22.8664
24.458,22.8664
24.500,22.8664
24.542,22.8664
24.583,22.8664
24.625,22.8664
24.667,22.8664
24.708,22.8664
24.750,22.8664
24.792,22.8664
24.833,22.8664
24.875,22.8664
24.917,22.8664
24.958,22.8664
25.000,25.47
25.042,25.47
25.083,25.47
25.125,25.47
25.167,25.47
25.208,25.47
25.250,25.47
25.292,25.47
25.333,25.47
25.375,25.47
25.417,25.47
25.458,25.47
25.500,25.47
25.542,25.47
25.583,25.47
25.625,25.47
25.667,25.47
25.708,25.47
25.750,25.47
25.792,25.47
25.833,25.47
25.875,25.47
25.917,25.47
25.958,25.47
26.000,35.5731
26.042,35.5731
26.083,35.5731
26.125,35.5731
26.167,35.5731
26.208,35.5731
26.250,35.5731
26.292,35.5731
26.333,35.5731
26.375,35.5731
26.417,35.5731
26.458,35.5731
26.500,35.5731
26.542,35.5731
26.583,35.5731
26.625,35.5731
26.667,35.5731
26.708,35.5731
26.750,35.5731
26.792,35.5731
26.833,35.5731
26.875,35.5731
26.917,35.5731
26.958,35.5731
27.000,34.2996
27.042,34.2996
27.083,34.2996
27.125,34.2996
27.167,34.2996
27.208,34.2996
27.250,34.2996
27.292,34.2996
27.333,34.2996
27.375,34.2996
27.417,34.2996
27.458,34.2996
27.500,34.2996
27.542,34.2996
27.583,34.2996
27.625,34.2996
27.667,34.2996
27.708,34.2996
27.750,34.2996
27.792,34.2996
27.833,34.2996
27.875,34.2996
27.917,34.2996
27.958,34.2996
28.000,26.9699
28.042,26.9699
28.083,26.9699
28.125,26.9699
28.167,26.9699
28.208,26.9699
28.250,26.9699
28.292,26.9699
28.333,26.9699
28.375,26.9699
28.417,26.9699
28.458,26.9699
28.500,26.9699
28.542,26.9699
28.583,26.9699
28.625,26.9699
28.667,26.9699
28.708,26.9699
28.750,26.9699
28.792,26.9699
28.833,26.9699
28.875,26.9699
28.917,26.9699
28.958,26.9699
29.000,22.5268
29.042,22.5268
29.083,22.5268
29.125,22.5268
29.167,22.5268
29.208,22.5268
29.250,22.5268
29.292,22.5268
29.333,22.5268
29.375,22.5268
29.417,22.5268
29.458,22.5268
29.500,22.5268
29.542,22.5268
29.583,22.5268
29.625,22.5268
29.667,22.5268
29.708,22.5268
29.750,22.5268
29.792,22.5268
29.833,22.5268
29.875,22.5268
29.917,22.5268
29.958,22.5268
30.000,25.5832
30.042,25.5832
30.083,25.5832
30.125,25.5832
30.167,25.5832
30.208,25.5832
30.250,25.5832
30.292,25.5832
30.333,25.5832
30.375,25.5832
30.417,25.5832
30.458,25.5832
30.500,25.5832
30.542,25.5832
30.583,25.5832
30.625,25.5832
30.667,25.5832
30.708,25.5832
30.750,25.5832
30.792,25.5832
30.833,25.5832
30.875,25.5832
30.917,25.5832
30.958,25.5832
31.000,21.4797
31.042,21.4797
31.083,21.4797
31.125,21.4797
31.167,21.4797
31.208,21.4797
31.250,21.4797
31.292,21.4797
31.333,21.4797
31.375,21.4797
31.417,21.4797
31.458,21.4797
31.500,21.4797
31.542,21.4797
31.583,21.4797
31.625,21.4797
31.667,21.4797
31.708,21.4797
31.750,21.4797
31.792,21.4797
31.833,21.4797
31.875,21.4797
31.917,21.4797
31.958,21.4797
32.000,23.8569
32.042,23.8569
32.083,23.8569
32.125,23.8569
32.167,23.8569
32.208,23.8569
32.250,23.8569
32.292,23.8569
32.333,23.8569
32.375,23.8569
32.417,23.8569
32.458,23.8569
32.500,23.8569
32.542,23.8569
32.583,23.8569
32.625,23.8569
32.667,23.8569
32.708,23.8569
32.750,23.8569
32.792,23.8569
32.833,23.8569
32.875,23.8569
32.917,23.8569
32.958,23.8569
33.000,22.4136
33.042,22.4136
33.083,22.4136
33.125,22.4136
33.167,22.4136
33.208,22.4136
33.250,22.4136
33.292,22.4136
33.333,22.4136
33.375,22.4136
33.417,22.4136
33.458,22.4136
33.500,22.4136
33.542,22.4136
33.583,22.4136
33.625,22.4136
33.667,22.4136
33.708,22.4136
33.750,22.4136
33.792,22.4136
33.833,22.4136
33.875,22.4136
33.917,22.4136
33.958,22.4136
34.000,24.5078
34.042,24.5078
34.083,24.5078
34.125,24.5078
34.167,24.5078
34.208,24.5078
34.250,24.5078
34.292,24.5078
34.333,24.5078
34.375,24.5078
34.417,24.5078
34.458,24.5078
34.500,24.5078
34.542,24.5078
34.583,24.5078
34.625,24.5078
34.667,24.5078
34.708,24.5078
34.750,24.5078
34.792,24.5078
34.833,24.5078
34.875,24.5078
34.917,24.5078
34.958,24.5078
35.000,23.772
35.042,23.772
35.083,23.772
35.125,23.772
35.167,23.772
35.208,23.772
35.250,23.772
35.292,23.772
35.333,23.772
35.375,23.772
35.417,23.772
35.458,23.772
35.500,23.772
35.542,23.772
35.583,23.772
35.625,23.772
35.667,23.772
35.708,23.772
35.750,23.772
35.792,23.772
35.833,23.772
35.875,23.772
35.917,23.772
35.958,23.772
36.000,22.8947
36.042,22.8947
36.083,22.8947
36.125,22.8947
36.167,22.8947
36.208,22.8947
36.250,22.8947
36.292,22.8947
36.333,22.8947
36.375,22.8947
36.417,22.8947
36.458,22.8947
36.500,22.8947
36.542,22.8947
36.583,22.8947
36.625,22.8947
36.667,22.8947
36.708,22.8947
36.750,22.8947
36.792,22.8947
36.833,22.8947
36.875,22.8947
36.917,22.8947
36.958,22.8947
37.000,18.7629
37.042,18.7629
37.083,18.7629
37.125,18.7629
37.167,18.7629
37.208,18.7629
37.250,18.7629
37.292,18.7629
37.333,18.7629
37.375,18.7629
37.417,18.7629
37.458,18.7629
37.500,18.7629
37.542,18.7629
37.583,18.7629
37.625,18.7629
37.667,18.7629
37.708,18.7629
37.750,18.7629
37.792,18.7629
37.833,18.7629
37.875,18.7629
37.917,18.7629
37.958,18.7629
38.000,24.1399
38.042,24.1399
38.083,24.1399
38.125,24.1399
38.167,24.1399
38.208,24.1399
38.250,24.1399
38.292,24.1399
38.333,24.1399
38.375,24.1399
38.417,24.1399
38.458,24.1399
38.500,24.1399
38.542,24.1399
