$NML Br1 inflow Tw year 2005 gap filled with dly averaged filled Tw YC 02/02/2023,
",,,",
Jday,Tw (deg C)
12.375,4.978080235
12.417,4.968297627
12.458,4.899110481
12.500,4.899110481
12.542,4.899110481
12.583,4.899110481
12.625,4.835093468
12.667,4.919327872
12.708,4.929110481
12.750,4.939545264
12.792,4.949327872
12.833,4.939545264
12.875,4.939545264
12.917,4.939545264
12.958,4.998297627
13.000,5.016787703
13.042,5.016787703
13.083,5.016787703
13.125,5.006983781
13.167,5.006983781
13.208,4.996526265
13.250,4.996526265
13.292,4.917394612
13.333,4.917394612
13.375,4.906937096
13.417,4.906937096
13.458,4.906937096
13.500,4.917394612
13.542,4.917394612
13.583,4.927198534
13.625,4.93765605
13.667,4.947459972
13.708,5.016787703
13.750,5.027245219
13.792,5.037049141
13.833,5.037049141
13.875,5.11099872
13.917,5.11099872
13.958,5.11099872
14.000,5.164915222
14.042,5.227770963
14.083,5.227770963
14.125,5.152844564
14.167,5.152844564
14.208,5.139969196
14.250,5.127898539
14.292,5.060852415
14.333,5.047977047
14.375,5.047977047
14.417,4.973050649
14.458,4.973050649
14.500,4.985121306
14.542,4.985121306
14.583,4.997996674
14.625,4.997996674
14.667,5.010067332
14.708,5.010067332
14.750,5.0229427
14.792,5.035013357
14.833,5.035013357
14.875,5.0229427
14.917,5.0229427
14.958,5.085798441
15.000,5.1256467
15.042,5.1256467
15.083,5.1256467
15.125,5.115010621
15.167,5.115010621
15.208,5.103665469
15.250,5.103665469
15.292,5.018733248
15.333,5.018733248
15.375,5.018733248
15.417,5.007388097
15.458,5.007388097
15.500,5.018733248
15.542,5.029369328
15.583,5.040714479
15.625,5.040714479
15.667,5.051350558
15.708,5.136991851
15.750,5.14762793
15.792,5.14762793
15.833,5.158973082
15.875,5.238222299
15.917,5.238222299
15.958,5.238222299
16.000,5.252981034
16.042,5.252981034
16.083,5.252981034
16.125,5.252981034
16.167,5.252981034
16.208,5.163464723
16.250,5.163464723
16.292,5.163464723
16.333,5.163464723
16.375,5.163464723
16.417,5.081035027
16.458,5.093273497
16.500,5.104747063
16.542,5.104747063
16.583,5.116985533
16.625,5.140697569
16.667,5.223127265
16.708,5.223127265
16.750,5.235365736
16.792,5.312643576
16.833,5.324117142
16.875,5.336355612
16.917,5.336355612
16.958,5.336355612
17.000,5.184291455
17.042,5.184291455
17.083,5.184291455
17.125,5.173688544
17.167,5.173688544
17.208,5.162378773
17.250,5.09392763
17.292,5.083324719
17.333,5.072014948
17.375,4.987690623
17.417,4.987690623
17.458,4.987690623
17.500,4.987690623
17.542,4.987690623
17.583,4.930549251
17.625,4.930549251
17.667,5.010310166
17.708,5.010310166
17.750,5.020913077
17.792,5.020913077
17.833,5.105237401
17.875,5.105237401
17.917,5.105237401
17.958,5.162378773
18.000,5.098332464
18.042,5.088754999
18.083,5.088754999
18.125,5.088754999
18.167,5.088754999
18.208,5.010088332
18.250,5.010088332
18.292,4.99987237
18.333,4.99987237
18.375,4.917280821
18.417,4.907064858
18.458,4.907064858
18.500,4.917280821
18.542,4.926858286
