$Tulloch dam release year 2005 YC 04/11/2023,,
",,,",,
Jday,spillway,low outlet
224,0.001,53.06526972
225,0.001,50.74331021
226,0.001,52.98031998
227,0.001,52.8104205
228,0.001,52.78210392
229,0.001,53.6316013
230,0.001,50.48846099
231,0.001,49.18589834
232,0.001,48.93104913
233,0.001,47.88333569
234,0.001,47.65680306
235,0.001,44.68356223
236,0.001,43.57921563
237,0.001,43.63584879
238,0.001,43.23941668
239,0.001,43.2111001
240,0.001,42.70140167
241,0.001,42.30496956
242,0.001,45.22157723
243,0.001,46.26929067
244,0.001,45.6746425
245,0.001,45.6746425
246,0.001,44.96672802
247,0.001,45.47642645
248,0.001,45.6746425
249,0.001,44.45702959
250,0.001,45.64632592
251,0.001,45.02336118
252,0.001,43.49426589
253,0.001,43.12615036
254,0.001,43.38099958
255,0.001,44.00396432
256,0.001,45.50474303
257,0.001,44.96672802
258,0.001,44.68356223
259,0.001,41.4271556
260,0.001,39.67152768
261,0.001,39.04856293
262,1.019396857,36.41512105
263,0.001,35.87710605
264,0.001,36.04700552
265,0.001,32.59238284
266,0.001,33.72504601
267,0.001,34.1497947
268,0.001,34.34801076
269,0.001,32.93218179
270,0.001,30.66685544
271,0.001,31.0066544
272,0.001,30.75180518
273,0.001,28.27410449
274,0.001,25.79640379
275,0.001,24.80532352
276,0.001,24.38057483
277,0.001,25.59818774
278,0.001,25.54155458
279,0.001,25.23007221
280,0.001,25.03185615
281,0.001,25.08848931
282,0.001,24.43720799
283,0.001,23.95582614
284,0.001,23.8708764
285,0.001,21.63386663
286,0.001,19.14200765
287,0.001,11.21336543
288,0.001,10.90188305
289,0.001,10.95851621
290,0.001,10.93019963
291,0.001,16.28203313
292,0.001,21.42149228
293,0.001,26.56095144
294,0.001,26.27778564
295,0.001,26.16451933
296,0.001,26.27778564
297,0.001,26.24946906
298,0.001,26.58926802
299,0.001,21.40733399
300,0.001,14.69630469
301,0.001,13.62027467
302,0.001,11.35494832
303,0.001,11.18504885
304,0.001,11.29831516
305,0.001,11.241682
306,0.001,11.18504885
307,0.001,11.26999858
308,0.001,11.21336543
309,0.001,11.10009911
310,0.001,11.07178253
311,0.001,11.04346595
312,0.001,11.01514937
313,0.001,10.98683279
314,0.001,10.90188305
315,0.001,11.12841569
316,0.001,11.35494832
317,0.001,11.32663174
318,0.001,11.43989806
319,0.001,11.21336543
320,0.001,11.21336543
321,0.001,11.15673227
322,0.001,11.10009911
323,0.001,11.10009911
324,0.001,11.15673227
325,0.001,11.07178253
