$Green Spring Met year 2005 YC 04/11/2023,,,,,,
",,,",,,,,,
Jday,Tair(degC),Dew point(degC),WindSpeed(cms),WindDir(rad),CloudCover,Solar
10.875,11.11111111,10.34,7.15264,2.4958219,0,3.99296392
10.91666667,10,8.92,5.81152,2.6354483,0,3.99296392
10.95833333,8.333333333,7.42,5.81152,2.5656351,0,3.99296392
11,7.222222222,6.47,5.36448,3.4033935,0,3.99296392
11.04166667,6.111111111,5.52,4.02336,3.3335803,0,3.49384343
11.08333333,5,4.42,1.34112,1.919863,0,3.49384343
11.125,5,4.56,1.78816,1.570797,0,3.49384343
11.16666667,5,4.42,0.89408,1.74533,0,3.49384343
11.20833333,6.111111111,5.22,1.78816,1.8151432,0,3.49384343
11.25,6.111111111,3.95,5.36448,2.0245828,0,3.49384343
11.29166667,6.111111111,3.95,4.4704,2.1293026,0,17.46921715
11.33333333,6.111111111,3.78,7.15264,2.3911021,0,12.47801225
11.375,5.555555556,3.73,5.36448,1.9373163,0,37.43403675
11.41666667,5.555555556,3.73,5.81152,2.0420361,0,145.7431831
11.45833333,6.111111111,4.75,6.7056,2.4958219,0,111.3038693
11.5,6.111111111,4.6,4.91744,2.3736488,0,44.9208441
11.54166667,5.555555556,4.21,7.15264,2.1642092,0,83.85224232
11.58333333,5.555555556,4.37,3.12928,1.8849564,0,142.7484601
11.625,6.111111111,4.44,4.4704,1.9896762,0,121.7853996
11.66666667,6.666666667,4.33,3.12928,1.5533437,0,32.44283185
11.70833333,6.111111111,3.27,1.34112,1.2391843,0,3.99296392
11.75,6.111111111,3.95,0,0.9075716,0,3.49384343
11.79166667,5.555555556,4.37,0,5.8817621,0,3.49384343
11.83333333,5.555555556,4.52,0.89408,5.4977895,0,3.49384343
11.875,3.888888889,3.16,1.34112,5.4628829,0,3.49384343
11.91666667,3.333333333,2.75,0.89408,5.6199626,0,3.49384343
11.95833333,3.333333333,2.9,0.89408,6.0213885,0,3.49384343
12,1.666666667,0.81,0.44704,1.0821046,0,3.49384343
12.04166667,1.666666667,1.1,1.78816,0.9773848,0,3.49384343
12.08333333,0.555555556,-0.29,0.44704,4.5204047,0,3.49384343
12.125,1.666666667,1.1,0,2.9845143,0,3.99296392
12.16666667,1.666666667,0.36,1.34112,0.6457721,0,3.49384343
12.20833333,0,-1.59,1.34112,0.9599315,0,3.49384343
12.25,0,-0.85,0.44704,3.7699128,0,3.49384343
12.29166667,-0.555555556,-1.56,0.89408,1.0821046,0,11.97889176
12.33333333,0.555555556,-0.44,0.44704,3.4732067,0,52.90677194
12.375,5,2.86,0.44704,0.4712391,0,113.7994717
12.41666667,8.333333333,4.73,0.89408,1.7802366,0,236.5831123
12.45833333,9.444444444,4.05,0.89408,1.6755168,0,194.6569911
12.5,8.333333333,2.99,2.2352,3.0543275,0,176.6886535
12.54166667,8.888888889,5.45,2.2352,3.1241407,0,168.7027256
12.58333333,8.333333333,4.17,3.12928,2.4085554,0,260.0417753
12.625,10,6.89,1.78816,2.6703549,0,166.2071232
12.66666667,9.444444444,4.05,1.34112,1.8325965,0,73.86983252
12.70833333,5,2.19,2.2352,3.1939539,0,3.99296392
12.75,5,4.27,1.78816,2.7052615,0,2.99472294
12.79166667,4.444444444,3.41,1.34112,1.8325965,0,3.49384343
12.83333333,3.888888889,3.16,0.89408,1.396264,0,3.49384343
12.875,2.222222222,1.5,0,1.6929701,0,2.99472294
12.91666667,2.222222222,1.79,0,4.188792,0,2.99472294
12.95833333,1.111111111,0.69,0,1.8500498,0,2.99472294
13,0.555555556,0.14,0,1.5009838,0,2.99472294
13.04166667,1.111111111,0.69,0,3.0892341,0,2.99472294
13.08333333,1.111111111,0.69,0,1.6755168,0,2.99472294
13.125,0.555555556,0,0.44704,2.4085554,0,2.99472294
13.16666667,0,-0.56,0,1.4311706,0,2.99472294
13.20833333,0.555555556,0.14,0,6.0388418,0,2.99472294
13.25,1.111111111,0.69,0,2.2340224,0,3.49384343
13.29166667,1.111111111,0.4,0.44704,1.0995579,0,12.47801225
13.33333333,1.666666667,0.81,0,6.0737484,0,72.37247105
13.375,3.333333333,1.85,0.44704,1.3788107,0,154.2282314
13.41666667,6.111111111,4.44,0.44704,2.3911021,0,196.1543526
13.45833333,7.222222222,3.83,0,5.6897758,0,165.7080027
13.5,8.333333333,5.27,0.44704,5.759589,0,180.1824969
13.54166667,7.222222222,3.09,0.44704,3.2463138,0,194.1578706
13.58333333,6.666666667,3.99,0.44704,4.3109651,0,160.7167978
13.625,6.111111111,4.6,1.78816,3.3684869,0,93.33553163
13.66666667,6.666666667,5.31,0.89408,2.967061,0,28.44986793
13.70833333,5,3.34,0.44704,3.0543275,0,3.99296392
13.75,3.333333333,2.16,0.44704,3.6128331,0,3.49384343
13.79166667,3.333333333,2.75,0,1.396264,0,3.49384343
13.83333333,2.222222222,1.79,0,0.9424782,0,3.49384343
13.875,3.333333333,2.9,0.44704,3.4557534,0,3.49384343
13.91666667,3.333333333,2.9,0.44704,5.3407098,0,3.49384343
13.95833333,3.333333333,2.9,0,5.934122,0,3.49384343
14,3.333333333,2.9,0.89408,1.3613574,2,3.49384343
14.04166667,3.333333333,2.9,0.89408,2.1293026,2,2.99472294
14.08333333,3.333333333,2.9,0.44704,1.919863,2,3.49384343
14.125,3.333333333,2.9,0.89408,2.3212889,2,3.49384343
14.16666667,2.777777778,2.35,0,4.6949377,2,3.49384343
14.20833333,2.777777778,2.35,0.44704,1.4486239,2,3.49384343
14.25,3.333333333,2.9,0.44704,1.1868244,2,3.49384343
14.29166667,3.055555556,2.63,0.22352,2.8099813,2,6.48856637
14.33333333,2.777777778,2.35,0,4.4331382,2,24.9560245
14.375,3.333333333,2.9,0.44704,2.8623412,2,54.9032539
14.41666667,3.888888889,3.46,0.44704,0.9773848,2,77.36367595
14.45833333,4.444444444,4.01,0.89408,2.5132752,2,85.34960379
14.5,5,4.12,1.34112,2.967061,2,106.8117849
14.54166667,5.555555556,4.37,0.89408,4.2760585,2,98.82585702
14.58333333,5.555555556,3.73,1.78816,2.5656351,2,85.34960379
14.625,4.444444444,2.79,1.78816,3.665193,2,45.91908508
14.66666667,4.444444444,3.41,1.34112,2.9845143,2,14.47449421
14.70833333,3.888888889,3.01,0.44704,4.3458717,2,3.99296392
14.75,3.888888889,3.31,0.44704,3.9444458,2,2.99472294
14.79166667,3.888888889,3.46,1.34112,2.1816625,2,3.49384343
14.83333333,3.333333333,2.9,1.34112,3.0543275,2,3.49384343
14.875,3.888888889,3.46,1.34112,2.3736488,2,3.49384343
14.91666667,3.888888889,3.46,0.89408,2.0420361,2,2.99472294
14.95833333,3.333333333,2.9,1.78816,2.4783686,2,3.49384343
15,3.888888889,3.46,1.34112,2.2165691,2,3.49384343
15.04166667,3.333333333,2.9,1.34112,2.3038356,2,3.49384343
15.08333333,3.333333333,2.9,1.34112,2.1816625,2,2.99472294
15.125,3.333333333,2.9,0.89408,2.0245828,2,3.49384343
15.16666667,3.333333333,2.9,0.44704,3.1241407,2,3.49384343
15.20833333,2.777777778,2.35,0,0.9599315,2,3.49384343
15.25,2.777777778,2.35,0,5.9515753,2,3.49384343
15.29166667,2.777777778,2.35,0,5.5676027,2,8.48504833
15.33333333,2.777777778,2.35,0.44704,4.8520174,2,30.44634989
15.375,2.777777778,2.35,0.44704,0.5585056,2,54.9032539
15.41666667,3.888888889,3.46,0.44704,2.8972478,2,81.85576036
15.45833333,3.888888889,3.46,1.78816,2.8274346,2,88.34432673
15.5,4.444444444,4.01,2.2352,2.6703549,2,109.8065078
15.54166667,5,4.56,1.34112,2.2514757,2,108.8082668
15.58333333,8.333333333,7.58,0.44704,3.7175529,2,101.3214595
15.625,8.333333333,6.63,0.89408,2.1991158,2,68.37950713
15.66666667,6.111111111,3.78,1.34112,3.9618991,2,27.95074744
15.70833333,5,3.81,0.89408,3.3510336,2,3.99296392
15.75,4.444444444,3.86,1.34112,2.0245828,2,3.49384343
15.79166667,4.444444444,4.01,1.34112,4.8520174,2,3.49384343
15.83333333,4.444444444,4.01,0,5.3930697,2,3.49384343
15.875,3.888888889,3.46,0,1.3264508,2,3.49384343
15.91666667,3.888888889,3.46,0.44704,2.0420361,2,3.49384343
15.95833333,3.333333333,2.9,0,4.2586052,2,3.49384343
16,3.888888889,3.46,1.34112,1.8849564,2,3.49384343
16.04166667,3.888888889,3.46,2.2352,5.0265504,2,3.49384343
16.08333333,3.333333333,3.04,0.44704,5.8119489,2,3.49384343
16.125,3.333333333,2.9,1.34112,1.6231569,2,3.99296392
16.16666667,3.333333333,2.9,0.89408,4.8694707,2,3.49384343
16.20833333,3.333333333,3.04,0.89408,5.4454296,2,3.49384343
16.25,2.777777778,2.5,0.44704,5.5676027,2,3.99296392
16.29166667,3.333333333,3.04,0.44704,0.6108655,2,11.47977127
16.33333333,3.333333333,3.04,2.2352,4.6076712,2,50.91028998
16.375,4.444444444,4.15,2.68224,4.9218306,2,66.88214566
16.41666667,6.666666667,6.38,1.78816,1.2740909,2,112.3021103
16.45833333,7.222222222,6.78,0.89408,3.9095392,2,100.3232185
16.5,5.555555556,4.67,2.2352,2.5656351,2,100.822339
16.54166667,5,4.42,2.2352,3.1939539,2,87.84520624
16.58333333,5,4.42,1.78816,4.3109651,2,84.8504833
16.625,6.111111111,5.52,0.44704,4.2935118,2,61.39182027
16.66666667,6.111111111,5.37,0.44704,1.6057036,2,26.45338597
16.70833333,5,4.12,1.78816,4.5727646,2,3.99296392
16.75,5,4.56,0.44704,4.0317123,2,3.49384343
16.79166667,4.444444444,4.01,0.89408,2.7052615,2,2.99472294
16.83333333,5,4.56,1.78816,2.3038356,2,3.49384343
16.875,4.444444444,4.01,1.78816,2.7576214,2,3.99296392
16.91666667,3.888888889,3.46,1.78816,2.9496077,2,3.49384343
16.95833333,3.888888889,3.46,0.89408,2.3038356,2,3.49384343
17,3.888888889,3.6,1.34112,2.8274346,2,3.49384343
17.04166667,4.444444444,4.15,1.34112,2.0769427,2,3.99296392
17.08333333,3.888888889,3.6,0.89408,2.6005417,2,3.49384343
17.125,3.888888889,3.6,0,4.9392839,2,3.49384343
17.16666667,3.888888889,3.6,1.34112,2.268929,2,3.49384343
17.20833333,3.888888889,3.6,0.89408,2.268929,2,3.49384343
17.25,3.888888889,3.6,0.44704,3.1939539,2,3.49384343
17.29166667,3.888888889,3.6,0.44704,2.967061,2,8.48504833
17.33333333,3.888888889,3.6,0,1.5533437,2,32.94195234
17.375,3.888888889,3.6,0.89408,2.9147011,2,55.40237439
17.41666667,4.444444444,4.15,1.78816,2.7401681,2,79.36015791
17.45833333,4.444444444,4.15,1.34112,2.1118493,2,168.2036051
17.5,5.555555556,5.27,0.44704,2.1816625,2,129.2722069
17.54166667,5.555555556,5.12,0.89408,2.4783686,2,88.34432673
17.58333333,5,4.56,0.44704,4.3109651,2,82.35488085
17.625,5.555555556,5.12,0.44704,1.0821046,2,44.42172361
17.66666667,6.111111111,5.67,0.89408,1.8849564,2,19.46569911
17.70833333,5,4.42,0.89408,3.3510336,2,3.99296392
17.75,4.444444444,4.01,0.89408,3.1066874,2,3.99296392
17.79166667,4.444444444,4.01,0.44704,2.9845143,2,3.49384343
17.83333333,5,4.71,0,5.2534433,2,3.49384343
17.875,5,4.71,0.89408,1.7802366,2,3.49384343
17.91666667,5,4.71,0.44704,2.0245828,2,3.49384343
17.95833333,4.444444444,4.15,1.34112,2.1991158,2,3.49384343
18,4.444444444,4.15,1.34112,3.2812204,2,3.49384343
18.04166667,4.444444444,4.15,0.89408,1.8500498,2,3.49384343
18.08333333,4.444444444,4.15,0.44704,2.2514757,2,3.49384343
18.125,4.444444444,4.15,0,4.712391,2,3.49384343
18.16666667,4.444444444,4.15,0.44704,4.4680448,2,3.49384343
18.20833333,3.888888889,3.6,0.44704,3.141594,2,3.49384343
18.25,3.888888889,3.6,1.34112,1.8849564,2,3.49384343
18.29166667,3.888888889,3.6,0.89408,2.7052615,2,5.49032539
18.33333333,3.888888889,3.6,0.44704,5.6199626,2,28.94898842
18.375,4.444444444,4.15,0,0.8552117,2,64.8856637
