$NML dam release year 2005 YC 03/22/2023,,,
",,,",,,
Jday,spillway,upper intake,lower intake
6.916666667,0.001,0.934447119,0.001
6.958333333,0.001,0.934447119,0.001
7,0.001,0.934447119,0.001
7.041666667,0.001,0.934447119,0.001
7.083333333,0.001,0.934447119,0.001
7.125,0.001,0.934447119,0.001
7.166666667,0.001,0.934447119,0.001
7.208333333,0.001,0.934447119,0.001
7.25,0.001,0.934447119,0.001
7.291666667,0.001,0.934447119,0.001
7.333333333,0.001,0.934447119,0.001
7.375,0.001,0.934447119,0.001
7.416666667,0.001,0.934447119,0.001
7.458333333,0.001,0.934447119,0.001
7.5,0.001,0.934447119,0.001
7.541666667,0.001,0.934447119,0.001
7.583333333,0.001,0.934447119,0.001
7.625,0.001,0.934447119,0.001
7.666666667,0.001,0.934447119,0.001
7.708333333,0.001,0.934447119,0.001
7.75,0.001,0.934447119,0.001
7.791666667,0.001,0.934447119,0.001
7.833333333,0.001,0.934447119,0.001
7.875,0.001,0.934447119,0.001
7.916666667,0.001,0.934447119,0.001
7.958333333,0.001,0.934447119,0.001
8,0.001,0.934447119,0.001
8.041666667,0.001,0.934447119,0.001
8.083333333,0.001,0.934447119,0.001
8.125,0.001,0.934447119,0.001
8.166666667,0.001,0.934447119,0.001
8.208333333,0.001,0.934447119,0.001
8.25,0.001,0.934447119,0.001
8.291666667,0.001,0.934447119,0.001
8.333333333,0.001,0.934447119,0.001
8.375,0.001,0.934447119,0.001
8.416666667,0.001,0.934447119,0.001
8.458333333,0.001,0.934447119,0.001
8.5,0.001,0.934447119,0.001
8.541666667,0.001,0.934447119,0.001
8.583333333,0.001,0.934447119,0.001
8.625,0.001,0.934447119,0.001
8.666666667,0.001,0.934447119,0.001
8.708333333,0.001,0.934447119,0.001
8.75,0.001,0.934447119,0.001
8.791666667,0.001,0.934447119,0.001
8.833333333,0.001,0.934447119,0.001
8.875,0.001,0.934447119,0.001
8.916666667,0.001,0.934447119,0.001
8.958333333,0.001,0.934447119,0.001
9,0.001,0.934447119,0.001
9.041666667,0.001,0.934447119,0.001
9.083333333,0.001,0.934447119,0.001
9.125,0.001,0.934447119,0.001
9.166666667,0.001,0.934447119,0.001
9.208333333,0.001,0.934447119,0.001
9.25,0.001,0.934447119,0.001
9.291666667,0.001,0.934447119,0.001
9.333333333,0.001,0.934447119,0.001
9.375,0.001,0.934447119,0.001
9.416666667,0.001,0.934447119,0.001
9.458333333,0.001,0.934447119,0.001
9.5,0.001,0.934447119,0.001
9.541666667,0.001,0.934447119,0.001
9.583333333,0.001,0.934447119,0.001
9.625,0.001,0.934447119,0.001
9.666666667,0.001,0.934447119,0.001
9.708333333,0.001,0.934447119,0.001
9.75,0.001,0.934447119,0.001
9.791666667,0.001,0.934447119,0.001
9.833333333,0.001,0.934447119,0.001
9.875,0.001,0.934447119,0.001
9.916666667,0.001,0.934447119,0.001
9.958333333,0.001,0.934447119,0.001
10,0.001,0.934447119,0.001
10.04166667,0.001,0.934447119,0.001
10.08333333,0.001,0.934447119,0.001
10.125,0.001,0.934447119,0.001
10.16666667,0.001,0.934447119,0.001
10.20833333,0.001,0.934447119,0.001
10.25,0.001,0.934447119,0.001
10.29166667,0.001,0.934447119,0.001
10.33333333,0.001,0.934447119,0.001
10.375,0.001,0.934447119,0.001
10.41666667,0.001,0.934447119,0.001
10.45833333,0.001,0.934447119,0.001
10.5,0.001,0.934447119,0.001
10.54166667,0.001,0.934447119,0.001
10.58333333,0.001,0.934447119,0.001
10.625,0.001,0.934447119,0.001
10.66666667,0.001,0.934447119,0.001
10.70833333,0.001,0.934447119,0.001
10.75,0.001,0.934447119,0.001
10.79166667,0.001,0.934447119,0.001
10.83333333,0.001,0.934447119,0.001
10.875,0.001,0.934447119,0.001
10.91666667,0.001,0.934447119,0.001
10.95833333,0.001,0.934447119,0.001
11,0.001,0.934447119,0.001
11.04166667,0.001,0.934447119,0.001
11.08333333,0.001,0.934447119,0.001
11.125,0.001,0.934447119,0.001
11.16666667,0.001,0.934447119,0.001
11.20833333,0.001,0.934447119,0.001
11.25,0.001,0.934447119,0.001
11.29166667,0.001,0.934447119,0.001
11.33333333,0.001,0.934447119,0.001
11.375,0.001,0.934447119,0.001
11.41666667,0.001,0.934447119,0.001
11.45833333,0.001,0.934447119,0.001
11.5,0.001,0.934447119,0.001
11.54166667,0.001,0.934447119,0.001
11.58333333,0.001,0.934447119,0.001
11.625,0.001,0.934447119,0.001
11.66666667,0.001,0.934447119,0.001
11.70833333,0.001,0.934447119,0.001
11.75,0.001,0.934447119,0.001
11.79166667,0.001,0.934447119,0.001
11.83333333,0.001,0.934447119,0.001
11.875,0.001,0.934447119,0.001
11.91666667,0.001,0.934447119,0.001
11.95833333,0.001,0.934447119,0.001
12,0.001,0.934447119,0.001
12.04166667,0.001,0.934447119,0.001
12.08333333,0.001,0.934447119,0.001
12.125,0.001,0.934447119,0.001
12.16666667,0.001,0.934447119,0.001
12.20833333,0.001,0.934447119,0.001
12.25,0.001,0.934447119,0.001
12.29166667,0.001,0.934447119,0.001
12.33333333,0.001,0.934447119,0.001
12.375,0.001,0.934447119,0.001
12.41666667,0.001,0.934447119,0.001
12.45833333,0.001,0.934447119,0.001
12.5,0.001,0.934447119,0.001
12.54166667,0.001,0.934447119,0.001
12.58333333,0.001,0.934447119,0.001
12.625,0.001,0.934447119,0.001
12.66666667,0.001,0.934447119,0.001
12.70833333,0.001,0.934447119,0.001
12.75,0.001,0.934447119,0.001
12.79166667,0.001,0.934447119,0.001
12.83333333,0.001,0.934447119,0.001
12.875,0.001,0.934447119,0.001
12.91666667,0.001,0.934447119,0.001
12.95833333,0.001,0.934447119,0.001
13,0.001,0.934447119,0.001
13.04166667,0.001,0.934447119,0.001
13.08333333,0.001,0.934447119,0.001
13.125,0.001,0.934447119,0.001
13.16666667,0.001,0.934447119,0.001
13.20833333,0.001,0.934447119,0.001
13.25,0.001,0.934447119,0.001
13.29166667,0.001,0.934447119,0.001
13.33333333,0.001,0.934447119,0.001
13.375,0.001,0.934447119,0.001
13.41666667,0.001,0.934447119,0.001
13.45833333,0.001,0.934447119,0.001
13.5,0.001,0.934447119,0.001
13.54166667,0.001,0.934447119,0.001
13.58333333,0.001,0.934447119,0.001
13.625,0.001,0.934447119,0.001
13.66666667,0.001,0.934447119,0.001
13.70833333,0.001,0.934447119,0.001
13.75,0.001,0.934447119,0.001
13.79166667,0.001,0.934447119,0.001
13.83333333,0.001,0.934447119,0.001
13.875,0.001,0.934447119,0.001
13.91666667,0.001,0.934447119,0.001
13.95833333,0.001,0.934447119,0.001
14,0.001,0.934447119,0.001
14.04166667,0.001,0.934447119,0.001
14.08333333,0.001,0.934447119,0.001
14.125,0.001,0.934447119,0.001
14.16666667,0.001,0.934447119,0.001
14.20833333,0.001,0.934447119,0.001
14.25,0.001,0.934447119,0.001
14.29166667,0.001,0.934447119,0.001
14.33333333,0.001,0.934447119,0.001
14.375,0.001,0.934447119,0.001
14.41666667,0.001,0.934447119,0.001
14.45833333,0.001,0.934447119,0.001
14.5,0.001,0.934447119,0.001
14.54166667,0.001,0.934447119,0.001
14.58333333,0.001,0.934447119,0.001
14.625,0.001,0.934447119,0.001
14.66666667,0.001,0.934447119,0.001
14.70833333,0.001,0.934447119,0.001
14.75,0.001,0.934447119,0.001
14.79166667,0.001,0.934447119,0.001
14.83333333,0.001,0.934447119,0.001
14.875,0.001,0.934447119,0.001
14.91666667,0.001,0.934447119,0.001
14.95833333,0.001,0.934447119,0.001
15,0.001,0.934447119,0.001
15.04166667,0.001,0.934447119,0.001
15.08333333,0.001,0.934447119,0.001
15.125,0.001,0.934447119,0.001
15.16666667,0.001,0.934447119,0.001
15.20833333,0.001,0.934447119,0.001
15.25,0.001,0.934447119,0.001
15.29166667,0.001,0.934447119,0.001
15.33333333,0.001,0.934447119,0.001
15.375,0.001,0.934447119,0.001
15.41666667,0.001,0.934447119,0.001
15.45833333,0.001,0.934447119,0.001
15.5,0.001,0.934447119,0.001
15.54166667,0.001,0.934447119,0.001
15.58333333,0.001,0.934447119,0.001
15.625,0.001,0.934447119,0.001
15.66666667,0.001,0.934447119,0.001
15.70833333,0.001,0.934447119,0.001
15.75,0.001,0.934447119,0.001
15.79166667,0.001,0.934447119,0.001
15.83333333,0.001,0.934447119,0.001
15.875,0.001,0.934447119,0.001
15.91666667,0.001,0.934447119,0.001
15.95833333,0.001,0.934447119,0.001
16,0.001,0.934447119,0.001
16.04166667,0.001,0.934447119,0.001
16.08333333,0.001,0.934447119,0.001
16.125,0.001,0.934447119,0.001
16.16666667,0.001,0.934447119,0.001
16.20833333,0.001,0.934447119,0.001
16.25,0.001,0.934447119,0.001
16.29166667,0.001,0.934447119,0.001
16.33333333,0.001,0.934447119,0.001
16.375,0.001,0.934447119,0.001
16.41666667,0.001,0.934447119,0.001
16.45833333,0.001,0.934447119,0.001
16.5,0.001,0.934447119,0.001
16.54166667,0.001,0.934447119,0.001
16.58333333,0.001,0.934447119,0.001
16.625,0.001,0.934447119,0.001
16.66666667,0.001,0.934447119,0.001
16.70833333,0.001,0.934447119,0.001
16.75,0.001,0.934447119,0.001
16.79166667,0.001,0.934447119,0.001
16.83333333,0.001,0.934447119,0.001
16.875,0.001,0.934447119,0.001
16.91666667,0.001,0.934447119,0.001
16.95833333,0.001,0.934447119,0.001
17,0.001,0.934447119,0.001
17.04166667,0.001,0.934447119,0.001
17.08333333,0.001,0.934447119,0.001
17.125,0.001,0.934447119,0.001
17.16666667,0.001,0.934447119,0.001
17.20833333,0.001,0.934447119,0.001
17.25,0.001,0.934447119,0.001
17.29166667,0.001,0.934447119,0.001
17.33333333,0.001,0.934447119,0.001
17.375,0.001,0.934447119,0.001
17.41666667,0.001,0.934447119,0.001
17.45833333,0.001,0.934447119,0.001
17.5,0.001,0.934447119,0.001
17.54166667,0.001,0.934447119,0.001
17.58333333,0.001,0.934447119,0.001
17.625,0.001,0.934447119,0.001
17.66666667,0.001,0.934447119,0.001
17.70833333,0.001,0.934447119,0.001
17.75,0.001,0.934447119,0.001
17.79166667,0.001,0.934447119,0.001
17.83333333,0.001,0.934447119,0.001
17.875,0.001,0.934447119,0.001
17.91666667,0.001,0.934447119,0.001
17.95833333,0.001,0.934447119,0.001
18,0.001,0.934447119,0.001
18.04166667,0.001,0.934447119,0.001
18.08333333,0.001,0.934447119,0.001
18.125,0.001,0.934447119,0.001
18.16666667,0.001,0.934447119,0.001
18.20833333,0.001,0.934447119,0.001
18.25,0.001,0.934447119,0.001
18.29166667,0.001,0.934447119,0.001
18.33333333,0.001,0.934447119,0.001
18.375,0.001,0.934447119,0.001
18.41666667,0.001,0.934447119,0.001
18.45833333,0.001,0.934447119,0.001
18.5,0.001,0.934447119,0.001
18.54166667,0.001,0.934447119,0.001
18.58333333,0.001,0.934447119,0.001
18.625,0.001,0.934447119,0.001
18.66666667,0.001,0.934447119,0.001
18.70833333,0.001,0.934447119,0.001
18.75,0.001,0.934447119,0.001
18.79166667,0.001,0.934447119,0.001
18.83333333,0.001,0.934447119,0.001
18.875,0.001,0.934447119,0.001
18.91666667,0.001,0.934447119,0.001
18.95833333,0.001,0.934447119,0.001
19,0.001,0.934447119,0.001
19.04166667,0.001,0.934447119,0.001
19.08333333,0.001,0.934447119,0.001
19.125,0.001,0.934447119,0.001
19.16666667,0.001,0.934447119,0.001
19.20833333,0.001,0.934447119,0.001
19.25,0.001,0.934447119,0.001
19.29166667,0.001,0.934447119,0.001
19.33333333,0.001,0.934447119,0.001
19.375,0.001,0.934447119,0.001
19.41666667,0.001,0.934447119,0.001
19.45833333,0.001,0.934447119,0.001
19.5,0.001,0.934447119,0.001
19.54166667,0.001,0.934447119,0.001
19.58333333,0.001,0.934447119,0.001
19.625,0.001,0.934447119,0.001
19.66666667,0.001,0.934447119,0.001
19.70833333,0.001,0.934447119,0.001
19.75,0.001,0.934447119,0.001
19.79166667,0.001,0.934447119,0.001
19.83333333,0.001,0.934447119,0.001
19.875,0.001,0.934447119,0.001
19.91666667,0.001,0.934447119,0.001
19.95833333,0.001,0.934447119,0.001
20,0.001,0.934447119,0.001
20.04166667,0.001,0.934447119,0.001
20.08333333,0.001,0.934447119,0.001
20.125,0.001,0.934447119,0.001
20.16666667,0.001,0.934447119,0.001
20.20833333,0.001,0.934447119,0.001
20.25,0.001,0.934447119,0.001
20.29166667,0.001,0.934447119,0.001
20.33333333,0.001,0.934447119,0.001
20.375,0.001,0.934447119,0.001
20.41666667,0.001,0.934447119,0.001
20.45833333,0.001,0.934447119,0.001
20.5,0.001,0.934447119,0.001
20.54166667,0.001,0.934447119,0.001
20.58333333,0.001,0.934447119,0.001
20.625,0.001,0.934447119,0.001
20.66666667,0.001,0.934447119,0.001
20.70833333,0.001,0.934447119,0.001
20.75,0.001,0.934447119,0.001
20.79166667,0.001,0.934447119,0.001
20.83333333,0.001,0.934447119,0.001
20.875,0.001,0.934447119,0.001
20.91666667,0.001,0.934447119,0.001
20.95833333,0.001,0.934447119,0.001
21,0.001,0.934447119,0.001
21.04166667,0.001,0.934447119,0.001
21.08333333,0.001,0.934447119,0.001
21.125,0.001,0.934447119,0.001
21.16666667,0.001,0.934447119,0.001
21.20833333,0.001,0.934447119,0.001
21.25,0.001,0.934447119,0.001
21.29166667,0.001,0.934447119,0.001
21.33333333,0.001,0.934447119,0.001
21.375,0.001,0.934447119,0.001
21.41666667,0.001,0.934447119,0.001
21.45833333,0.001,0.934447119,0.001
21.5,0.001,0.934447119,0.001
21.54166667,0.001,0.934447119,0.001
21.58333333,0.001,0.934447119,0.001
21.625,0.001,0.934447119,0.001
21.66666667,0.001,0.934447119,0.001
21.70833333,0.001,0.934447119,0.001
21.75,0.001,0.934447119,0.001
21.79166667,0.001,0.934447119,0.001
21.83333333,0.001,0.934447119,0.001
21.875,0.001,0.934447119,0.001
21.91666667,0.001,0.934447119,0.001
21.95833333,0.001,0.934447119,0.001
22,0.001,0.934447119,0.001
22.04166667,0.001,0.934447119,0.001
22.08333333,0.001,0.934447119,0.001
22.125,0.001,0.934447119,0.001
22.16666667,0.001,0.934447119,0.001
22.20833333,0.001,0.934447119,0.001
22.25,0.001,0.934447119,0.001
22.29166667,0.001,0.934447119,0.001
22.33333333,0.001,0.934447119,0.001
22.375,0.001,0.934447119,0.001
22.41666667,0.001,0.934447119,0.001
22.45833333,0.001,0.934447119,0.001
22.5,0.001,0.934447119,0.001
22.54166667,0.001,0.934447119,0.001
22.58333333,0.001,0.934447119,0.001
22.625,0.001,0.934447119,0.001
22.66666667,0.001,0.934447119,0.001
22.70833333,0.001,0.934447119,0.001
22.75,0.001,0.934447119,0.001
22.79166667,0.001,0.934447119,0.001
22.83333333,0.001,0.934447119,0.001
22.875,0.001,0.934447119,0.001
22.91666667,0.001,0.934447119,0.001
22.95833333,0.001,0.934447119,0.001
23,0.001,0.934447119,0.001
23.04166667,0.001,0.934447119,0.001
23.08333333,0.001,0.934447119,0.001
23.125,0.001,0.934447119,0.001
23.16666667,0.001,0.934447119,0.001
23.20833333,0.001,0.934447119,0.001
23.25,0.001,0.934447119,0.001
23.29166667,0.001,0.934447119,0.001
23.33333333,0.001,0.934447119,0.001
23.375,0.001,0.934447119,0.001
23.41666667,0.001,0.934447119,0.001
23.45833333,0.001,0.934447119,0.001
23.5,0.001,0.934447119,0.001
23.54166667,0.001,0.934447119,0.001
23.58333333,0.001,0.934447119,0.001
23.625,0.001,0.934447119,0.001
23.66666667,0.001,0.934447119,0.001
23.70833333,0.001,0.934447119,0.001
23.75,0.001,0.934447119,0.001
23.79166667,0.001,0.934447119,0.001
23.83333333,0.001,0.934447119,0.001
23.875,0.001,0.934447119,0.001
23.91666667,0.001,0.934447119,0.001
23.95833333,0.001,0.934447119,0.001
24,0.001,0.934447119,0.001
24.04166667,0.001,0.934447119,0.001
24.08333333,0.001,0.934447119,0.001
24.125,0.001,0.934447119,0.001
24.16666667,0.001,0.934447119,0.001
24.20833333,0.001,0.934447119,0.001
24.25,0.001,0.934447119,0.001
24.29166667,0.001,0.934447119,0.001
24.33333333,0.001,0.934447119,0.001
24.375,0.001,0.934447119,0.001
24.41666667,0.001,0.934447119,0.001
24.45833333,0.001,0.934447119,0.001
24.5,0.001,0.934447119,0.001
24.54166667,0.001,3.313039785,0.001
24.58333333,0.001,1.245929492,0.001
24.625,0.001,0.849497381,0.001
24.66666667,0.001,0.849497381,0.001
24.70833333,0.001,0.849497381,0.001
24.75,0.001,0.849497381,0.001
24.79166667,0.001,0.849497381,0.001
24.83333333,0.001,0.849497381,0.001
24.875,0.001,0.849497381,0.001
24.91666667,0.001,0.849497381,0.001
24.95833333,0.001,0.849497381,0.001
25,0.001,0.849497381,0.001
25.04166667,0.001,0.849497381,0.001
25.08333333,0.001,0.849497381,0.001
25.125,0.001,0.849497381,0.001
25.16666667,0.001,0.849497381,0.001
25.20833333,0.001,0.849497381,0.001
25.25,0.001,0.849497381,0.001
25.29166667,0.001,0.849497381,0.001
25.33333333,0.001,0.849497381,0.001
25.375,0.001,0.849497381,0.001
25.41666667,0.001,0.849497381,0.001
25.45833333,0.001,0.849497381,0.001
25.5,0.001,0.849497381,0.001
25.54166667,0.001,0.849497381,0.001
25.58333333,0.001,0.849497381,0.001
25.625,0.001,0.849497381,0.001
25.66666667,0.001,0.849497381,0.001
25.70833333,0.001,0.849497381,0.001
25.75,0.001,0.849497381,0.001
25.79166667,0.001,0.849497381,0.001
25.83333333,0.001,0.849497381,0.001
25.875,0.001,0.849497381,0.001
25.91666667,0.001,0.849497381,0.001
25.95833333,0.001,0.849497381,0.001
26,0.001,0.849497381,0.001
26.04166667,0.001,0.849497381,0.001
26.08333333,0.001,0.849497381,0.001
26.125,0.001,0.849497381,0.001
26.16666667,0.001,0.849497381,0.001
26.20833333,0.001,0.849497381,0.001
26.25,0.001,0.849497381,0.001
26.29166667,0.001,0.849497381,0.001
26.33333333,0.001,0.849497381,0.001
26.375,0.001,0.849497381,0.001
26.41666667,0.001,0.849497381,0.001
26.45833333,0.001,0.849497381,0.001
26.5,0.001,0.849497381,0.001
26.54166667,0.001,0.849497381,0.001
26.58333333,0.001,0.849497381,0.001
26.625,0.001,0.849497381,0.001
26.66666667,0.001,0.849497381,0.001
26.70833333,0.001,0.849497381,0.001
26.75,0.001,0.849497381,0.001
26.79166667,0.001,0.849497381,0.001
26.83333333,0.001,0.849497381,0.001
26.875,0.001,0.849497381,0.001
26.91666667,0.001,0.849497381,0.001
26.95833333,0.001,0.849497381,0.001
27,0.001,0.849497381,0.001
27.04166667,0.001,0.849497381,0.001
27.08333333,0.001,0.849497381,0.001
27.125,0.001,0.849497381,0.001
27.16666667,0.001,0.849497381,0.001
27.20833333,0.001,0.849497381,0.001
27.25,0.001,0.849497381,0.001
27.29166667,0.001,0.849497381,0.001
27.33333333,0.001,0.849497381,0.001
27.375,0.001,0.849497381,0.001
27.41666667,0.001,0.849497381,0.001
27.45833333,0.001,0.849497381,0.001
27.5,0.001,3.228090047,0.001
27.54166667,0.001,1.812261079,0.001
27.58333333,0.001,1.812261079,0.001
27.625,0.001,1.812261079,0.001
27.66666667,0.001,1.812261079,0.001
27.70833333,0.001,1.812261079,0.001
27.75,0.001,1.812261079,0.001
27.79166667,0.001,1.812261079,0.001
27.83333333,0.001,1.812261079,0.001
27.875,0.001,1.812261079,0.001
27.91666667,0.001,1.812261079,0.001
27.95833333,0.001,1.812261079,0.001
28,0.001,1.812261079,0.001
28.04166667,0.001,1.614045023,0.001
28.08333333,0.001,1.614045023,0.001
28.125,0.001,1.614045023,0.001
28.16666667,0.001,1.614045023,0.001
28.20833333,0.001,1.614045023,0.001
28.25,0.001,1.614045023,0.001
28.29166667,0.001,1.614045023,0.001
28.33333333,0.001,1.614045023,0.001
28.375,0.001,1.614045023,0.001
28.41666667,0.001,1.614045023,0.001
28.45833333,0.001,1.614045023,0.001
28.5,0.001,1.614045023,0.001
28.54166667,0.001,1.614045023,0.001
28.58333333,0.001,1.614045023,0.001
28.625,0.001,1.614045023,0.001
28.66666667,0.001,1.614045023,0.001
28.70833333,0.001,1.614045023,0.001
28.75,0.001,1.614045023,0.001
28.79166667,0.001,1.614045023,0.001
28.83333333,0.001,1.614045023,0.001
28.875,0.001,1.614045023,0.001
28.91666667,0.001,1.614045023,0.001
28.95833333,0.001,1.614045023,0.001
29,0.001,1.614045023,0.001
29.04166667,0.001,1.614045023,0.001
29.08333333,0.001,1.614045023,0.001
29.125,0.001,1.614045023,0.001
29.16666667,0.001,1.614045023,0.001
29.20833333,0.001,1.614045023,0.001
29.25,0.001,1.614045023,0.001
29.29166667,0.001,1.614045023,0.001
29.33333333,0.001,1.614045023,0.001
29.375,0.001,1.614045023,0.001
29.41666667,0.001,1.614045023,0.001
29.45833333,0.001,1.614045023,0.001
29.5,0.001,1.614045023,0.001
29.54166667,0.001,1.614045023,0.001
29.58333333,0.001,1.614045023,0.001
29.625,0.001,1.614045023,0.001
29.66666667,0.001,1.614045023,0.001
29.70833333,0.001,1.614045023,0.001
29.75,0.001,1.614045023,0.001
29.79166667,0.001,1.614045023,0.001
29.83333333,0.001,1.614045023,0.001
29.875,0.001,1.614045023,0.001
29.91666667,0.001,1.614045023,0.001
29.95833333,0.001,1.614045023,0.001
30,0.001,1.614045023,0.001
30.04166667,0.001,1.614045023,0.001
30.08333333,0.001,1.614045023,0.001
30.125,0.001,1.614045023,0.001
30.16666667,0.001,1.614045023,0.001
30.20833333,0.001,1.614045023,0.001
30.25,0.001,1.614045023,0.001
30.29166667,0.001,1.614045023,0.001
30.33333333,0.001,1.614045023,0.001
30.375,0.001,1.614045023,0.001
30.41666667,0.001,1.614045023,0.001
30.45833333,0.001,1.614045023,0.001
30.5,0.001,1.614045023,0.001
30.54166667,0.001,1.614045023,0.001
30.58333333,0.001,1.614045023,0.001
30.625,0.001,1.614045023,0.001
30.66666667,0.001,1.614045023,0.001
30.70833333,0.001,1.614045023,0.001
30.75,0.001,1.614045023,0.001
30.79166667,0.001,1.614045023,0.001
30.83333333,0.001,1.614045023,0.001
30.875,0.001,1.614045023,0.001
30.91666667,0.001,1.614045023,0.001
30.95833333,0.001,1.614045023,0.001
