$Tulloch dam release year 2006 YC 04/11/2023,,
",,,",,
Jday,spillway,low outlet
1,72.83024211,52.01755628
2,75.97338242,51.25300864
3,87.18674784,53.29180235
4,111.1708906,54.19793289
5,115.6732267,49.89381283
6,115.0502619,50.43182784
7,102.5343339,56.26504318
8,101.2600878,55.30227948
9,107.234886,49.21421492
10,104.544811,53.06526972
11,104.544811,55.21732975
12,105.0261928,55.75534475
13,88.85742602,55.72702817
14,80.33413564,55.64207844
15,80.41908537,51.87597338
16,79.73948747,54.84921421
17,63.00438907,54.93416395
18,52.04587286,54.28288263
19,27.9767804,54.02803341
20,0.001,51.70607391
21,0.001,51.67775733
22,0.001,51.67775733
23,0.001,48.13818491
24,0.001,46.89225542
25,0.001,46.58077304
26,0.001,46.92057199
27,0.001,46.92057199
28,0.001,46.97720515
29,0.001,47.09047147
30,0.001,46.92057199
31,0.001,46.80730568
32,0.001,46.92057199
33,0.001,47.03383831
34,0.001,47.62848648
35,0.001,47.37363726
36,0.001,47.17542121
37,0.001,47.20373779
38,0.001,47.34532069
39,0.001,47.458587
40,0.001,47.82670253
41,0.001,47.85501911
42,0.001,47.79838595
43,0.001,47.77006938
44,0.001,47.7417528
45,0.001,47.68511964
46,0.001,47.82670253
47,0.001,47.37363726
48,0.001,47.43027042
49,0.001,47.48690358
50,0.001,47.40195384
51,0.001,47.37363726
52,0.001,47.57185332
53,0.001,39.84142716
54,0.001,26.64590118
55,0.001,26.73085091
56,0.001,37.09471896
57,0.001,48.84609939
58,24.52215772,41.48378876
59,40.23785927,43.352683
60,33.27198074,52.83873708
61,37.80263344,51.13974232
62,43.80574827,50.65836047
63,43.352683,51.39459153
64,43.26773326,50.79994337
65,42.67308509,51.45122469
66,42.72971825,51.8476568
67,42.89961773,51.73439049
68,42.55981877,52.21577233
69,42.36160272,52.32903865
70,42.50318562,52.35735523
71,42.84298457,52.15913918
72,42.98456746,52.15913918
73,32.02605125,52.18745576
74,28.71301147,52.44230497
75,28.65637831,52.24408891
