elev_true,sed_temp,water_temp
975.5599999999997,11.729125,11.729125
971.6600000000002,11.518333333333336,11.518333333333336
968.76,11.25,11.25
966.31,11.5,11.5
963.01,11.333,11.333
960.06,11.444500000000001,11.444500000000001
957.41,11.389,11.389
952.81,11.167,11.167
950.56,11.083250000000001,11.083250000000001
947.76,10.6385,10.6385
945.9433333333333,10.796333333333331,10.796333333333331
943.31,10.417,10.417
939.3349999999999,9.58325,9.58325
936.91,8.194,8.194
932.4766666666666,9.981666666666667,9.981666666666667
930.51,9.2775,9.2775
926.91,11.2775,11.2775
923.31,11.278,11.278
921.31,11.0,11.0
912.01,11.1385,11.1385
907.91,11.056,11.056
906.21,11.0,11.0
896.41,11.111,11.111
887.71,10.9445,10.9445
884.11,10.9165,10.9165
879.86,10.9165,10.9165
875.41,10.722,10.722
871.11,10.389,10.389
865.91,10.778,10.778
861.61,10.556,10.556
859.31,10.611,10.611
856.01,10.667,10.667
849.81,10.667,10.667
845.0433333333334,10.240666666666668,10.240666666666668
838.71,9.889,9.889
835.71,10.0,10.0
835.41,10.056,10.056
831.81,9.556,9.556
827.8433333333332,9.666666666666666,9.666666666666666
826.21,10.111,10.111
822.61,9.833,9.833
818.51,10.0555,10.0555
815.01,10.0,10.0
813.5099999999999,9.5,9.5
800.61,9.778,9.778
795.41,9.722,9.722
789.11,9.611,9.611
782.61,9.722,9.722
779.26,9.6115,9.6115
777.61,9.667,9.667
767.51,9.556,9.556
760.21,9.5,9.5
755.31,9.444,9.444
752.71,9.611,9.611
738.91,9.5,9.5
734.66,9.472000000000001,9.472000000000001
731.71,9.333,9.333
725.11,9.444,9.444
721.91,9.389,9.389
720.61,9.333,9.333
709.71,9.333,9.333
674.9100000000001,9.389,9.389
658.21,9.389,9.389
648.4100000000001,9.389,9.389
640.51,9.389,9.389
629.31,9.389,9.389
608.66,9.389,9.389
588.01,9.389,9.389
