elev_true,sed_temp,water_temp
1049.91,10.587428571428571,10.587428571428571
1046.6599999999999,10.5,10.5
1043.46,10.37525,10.37525
1037.81,10.667,10.667
1029.435,10.139,10.139
1025.71,7.611,7.611
1023.01,10.5,10.5
1018.81,10.556,10.556
1016.46,5.0835,5.0835
1010.21,10.611,10.611
997.11,10.389,10.389
996.16,10.527999999999999,10.527999999999999
983.01,10.556,10.556
974.81,10.5,10.5
965.61,10.556,10.556
938.71,10.4445,10.4445
935.81,10.5,10.5
901.01,10.5,10.5
893.6099999999999,10.5,10.5
882.91,10.333,10.333
874.11,10.5,10.5
860.01,10.5,10.5
857.66,10.5,10.5
843.91,10.5,10.5
838.96,9.5275,9.5275
831.81,8.722,8.722
821.61,8.611,8.611
816.01,9.5,9.5
812.71,8.556,8.556
810.81,10.333,10.333
805.21,10.0,10.0
803.91,10.111,10.111
799.31,9.833,9.833
797.01,9.778,9.778
790.11,9.722,9.722
779.9100000000001,9.639,9.639
773.4100000000001,9.444,9.444
771.71,9.556,9.556
764.81,9.444,9.444
760.21,9.222,9.222
748.11,9.278,9.278
744.51,9.222,9.222
737.61,8.889,8.889
712.71,8.889,8.889
703.81,9.167,9.167
694.31,9.167,9.167
682.51,9.167,9.167
659.51,9.111,9.111
