elev_true,sed_temp,water_temp
964.6049999999999,11.4165,11.4165
955.38,11.333,11.333
950.48,11.222,11.222
946.38,11.333,11.333
944.28,11.333,11.333
938.88,11.278,11.278
934.08,11.222,11.222
927.5799999999999,11.333,11.333
924.58,11.278,11.278
910.78,11.333,11.333
907.38,11.333,11.333
905.28,11.222,11.222
896.08,11.278,11.278
892.28,11.333,11.333
882.6800000000001,11.222,11.222
881.28,11.222,11.222
877.13,11.278,11.278
861.28,11.222,11.222
859.58,11.222,11.222
856.58,11.278,11.278
850.53,11.0835,11.0835
844.38,10.8335,10.8335
841.78,10.528,10.528
839.2133333333335,10.110999999999999,10.110999999999999
835.28,9.278,9.278
832.3799999999999,9.777750000000001,9.777750000000001
829.9466666666667,9.111333333333333,9.111333333333333
826.48,9.703666666666667,9.703666666666667
823.78,10.444,10.444
818.78,8.056,8.056
810.48,10.333,10.333
808.73,9.1945,9.1945
803.98,8.0,8.0
800.88,10.222,10.222
795.9300000000001,8.0,8.0
794.03,10.0835,10.0835
789.38,10.056,10.056
764.48,9.833,9.833
761.6800000000001,9.833,9.833
756.78,9.833,9.833
717.88,9.722,9.722
709.98,9.722,9.722
684.48,9.667,9.667
681.0799999999999,9.667,9.667
642.53,9.667,9.667
613.0799999999999,9.667,9.667
581.6800000000001,9.667,9.667
577.38,9.667,9.667
