elev_true,sed_temp,water_temp
1040.7314285714285,11.412714285714285,11.412714285714285
1036.92,11.3446,11.3446
1032.86,11.148000000000001,11.148000000000001
1031.61,11.458000000000002,11.458000000000002
1028.06,11.5,11.5
1025.66,10.351666666666667,10.351666666666667
1022.5933333333332,11.425666666666666,11.425666666666666
1019.2933333333334,11.444,11.444
1016.11,4.944,4.944
1012.81,11.444,11.444
1010.36,11.444,11.444
1008.36,11.444,11.444
1004.56,11.444,11.444
1001.86,11.389,11.389
998.06,11.444,11.444
996.56,11.444,11.444
992.1933333333333,11.425666666666666,11.425666666666666
985.26,11.444,11.444
981.16,11.444,11.444
974.56,11.389,11.389
971.96,11.3885,11.3885
966.06,11.444,11.444
962.76,11.389,11.389
958.5266666666666,11.407333333333332,11.407333333333332
952.56,11.389,11.389
947.66,11.444,11.444
945.36,11.389,11.389
935.2933333333334,11.407333333333334,11.407333333333334
932.56,11.444,11.444
928.66,11.389,11.389
922.91,11.4165,11.4165
919.16,11.333,11.333
916.56,11.389,11.389
913.26,11.444,11.444
909.96,11.389,11.389
904.7266666666666,11.407333333333332,11.407333333333332
901.46,11.389,11.389
896.86,11.389,11.389
894.26,11.389,11.389
876.01,11.389,11.389
872.86,11.333,11.333
864.96,11.333,11.333
861.76,11.278,11.278
850.86,11.333,11.333
848.46,11.1665,11.1665
839.06,11.139,11.139
837.16,11.167,11.167
828.96,11.167,11.167
828.26,10.944,10.944
823.36,9.889,9.889
818.46,10.889,10.889
804.26,10.778,10.778
797.46,10.722,10.722
794.11,10.2775,10.2775
781.6600000000001,10.611,10.611
769.26,10.556,10.556
763.26,10.5,10.5
759.6600000000001,10.5,10.5
753.76,10.389,10.389
747.56,10.389,10.389
737.06,10.333,10.333
