600,980,63
610,1830,112
630,5480,263
650,12750,474
670,24790,739
690,42590,1048
710,66950,1394
720,81800,1578
730,98530,1769
740,117190,1965
750,137850,2166
760,160550,2374
770,185340,2586
780,212280,2802
790,241400,3024
800,272770,3251
808,299520,3436
825,361360,3842
850,465200,4472
875,585360,5148
900,723010,5871
925,879350,6643
950,1055500,7458
975,1252600,8309
1000,1471200,9183
1025,1711900,10074
1050,1975000,10981
1075,2261200,11923
1088,2419500,12441
1090,2444500,12524
1095,2507600,12733
1100,2571800,12949
1110,2703600,13403
1120,2839000,13880
1130,2980500,14444
