elev_true,sed_temp,water_temp
969.627296,11.409999999999998,11.409999999999998
951.254592,11.409999999999998,11.409999999999998
931.569552,11.409999999999998,11.409999999999998
908.931756,11.409999999999998,11.409999999999998
886.950128,11.409999999999998,11.409999999999998
864.640416,11.409999999999998,11.409999999999998
840.690284,11.400000000000002,11.400000000000002
818.380572,10.76,10.76
801.976372,10.49,10.49
778.354324,10.19,10.19
758.3412,10.06,10.06
731.766396,10.01,10.01
693.052484,9.96,9.96
653.0262359999999,9.89,9.89
615.296576,9.840000000000002,9.840000000000002
575.2703280000001,9.77,9.77
548.36744,9.759999999999998,9.759999999999998
