Date,"Depth(ft)"
2006-09-28T00:00:00-08:00,10.498688,
2006-09-28T00:00:00-08:00,17.388452,
2006-09-28T00:00:00-08:00,20.669292,
2006-09-28T00:00:00-08:00,29.199476,
2006-09-28T00:00:00-08:00,33.136484,
2006-09-28T00:00:00-08:00,35.761156,
2006-09-28T00:00:00-08:00,39.37008,
2006-09-28T00:00:00-08:00,42.979004,
2006-09-28T00:00:00-08:00,47.57218,
2006-09-28T00:00:00-08:00,51.181104,
2006-09-28T00:00:00-08:00,60.69554,
2006-09-28T00:00:00-08:00,70.209976,
2006-09-28T00:00:00-08:00,78.412076,
2006-09-28T00:00:00-08:00,95.472444,
2006-09-28T00:00:00-08:00,107.939636,
2006-09-28T00:00:00-08:00,129.265096,
2006-09-28T00:00:00-08:00,158.792656,
2006-09-28T00:00:00-08:00,207.021004,
2006-09-28T00:00:00-08:00,234.251976,
2006-10-30T00:00:00-08:00,0.0,
2006-10-30T00:00:00-08:00,2.624672,
2006-10-30T00:00:00-08:00,8.530184,
2006-10-30T00:00:00-08:00,20.669292,
2006-10-30T00:00:00-08:00,23.950132,
2006-10-30T00:00:00-08:00,30.511812,
2006-10-30T00:00:00-08:00,43.635172,
2006-10-30T00:00:00-08:00,47.57218,
2006-10-30T00:00:00-08:00,50.196852,
2006-10-30T00:00:00-08:00,51.837272,
2006-10-30T00:00:00-08:00,54.13386,
2006-10-30T00:00:00-08:00,56.430448,
2006-10-30T00:00:00-08:00,58.070868,
2006-10-30T00:00:00-08:00,61.023624,
2006-10-30T00:00:00-08:00,63.648296,
2006-10-30T00:00:00-08:00,67.25722,
2006-10-30T00:00:00-08:00,73.490816,
2006-10-30T00:00:00-08:00,79.724412,
2006-10-30T00:00:00-08:00,87.926512,
2006-10-30T00:00:00-08:00,95.472444,
2006-10-30T00:00:00-08:00,110.892392,
2006-10-30T00:00:00-08:00,123.0315,
2006-10-30T00:00:00-08:00,141.732288,
2006-10-30T00:00:00-08:00,163.057748,
2006-10-30T00:00:00-08:00,205.0525,
2006-10-30T00:00:00-08:00,249.671924,
2006-10-30T00:26:00-08:00,0.0,
2006-10-30T00:26:00-08:00,5.577428,
2006-10-30T00:26:00-08:00,30.183728,
2006-10-30T00:26:00-08:00,61.351708,
2006-10-30T00:26:00-08:00,87.598428,
2006-10-30T00:26:00-08:00,115.157484,
2006-10-30T00:26:00-08:00,125.984256,
2006-10-30T00:26:00-08:00,151.574808,
2006-10-30T00:26:00-08:00,179.790032,
2006-10-30T00:26:00-08:00,220.144364,
2006-10-30T00:26:00-08:00,245.078748,
2006-12-28T00:00:00-08:00,0.0,
2006-12-28T00:00:00-08:00,7.874016,
2006-12-28T00:00:00-08:00,10.170604,
2006-12-28T00:00:00-08:00,27.559056,
2006-12-28T00:00:00-08:00,40.682416,
2006-12-28T00:00:00-08:00,61.023624,
2006-12-28T00:00:00-08:00,103.674544,
2006-12-28T00:00:00-08:00,163.057748,
2006-12-28T00:00:00-08:00,205.380584,
2006-12-28T00:00:00-08:00,227.690296,
2006-12-28T00:00:00-08:00,250.98426,
