elev_true,sed_temp,water_temp
815.0,25.070000000000004,25.070000000000004
810.1443568,25.05,25.05
803.188976,25.01,25.01
798.6286084,24.99,24.99
795.0196844,24.95,24.95
792.5918628,22.885,22.885
790.1312328,21.3,21.3
787.358923,20.165,20.165
784.1272956,19.075000000000003,19.075000000000003
780.9284766000001,17.82,17.82
778.2217836,16.95,16.95
774.973752,15.815000000000001,15.815000000000001
771.7421246,14.245000000000001,14.245000000000001
768.7893686,13.515,13.515
765.8202084,12.550000000000002,12.550000000000002
763.4580036,11.99,11.99
759.8326754,11.395,11.395
756.0433052,11.06,11.06
753.2545912,10.9,10.9
747.4803128,10.65,10.65
742.1981604,10.45,10.45
736.8831996,10.34,10.34
729.1076088,10.29,10.29
715.0328052,10.240000000000002,10.240000000000002
702.0078704,10.19,10.19
672.5131188,10.1,10.1
638.8845088,10.04,10.04
603.2873948,10.050000000000002,10.050000000000002
564.6390996,10.04,10.04
540.9514348,10.050000000000002,10.050000000000002
