elev_true,sed_temp,water_temp
503.1700134277344,17.96,17.96
498.2159450277344,16.98,16.98
495.5256562277344,14.630000000000004,14.630000000000004
492.9009842277344,13.54,13.54
489.5545274277344,12.44,12.44
486.7658134277344,11.96,11.96
483.8786742277344,11.69,11.69
480.6962594277344,11.31,11.31
476.8248682277344,11.099999999999998,11.099999999999998
471.11620662773436,10.93,10.93
460.1582010277344,10.689999999999998,10.689999999999998
445.26318742773435,10.31,10.31
430.33536542773436,10.169999999999998,10.169999999999998
414.88260902773436,10.07,10.07
382.8944190277344,9.93,9.93
360.8143658277344,9.89,9.89
